sample_index,candidate,global_shift_tv
124,partition_sum,1.2549640146519714e-16
125,mean_q_softmax,2.45029690981724e-16
125,mass_times_exp_mean_q,1.7737547541862853e-16
125,partition_sum,1.7878493824285968e-16
126,mean_q_softmax,1.0343288725511712e-16
126,mass_times_exp_mean_q,9.269928574751063e-17
126,partition_sum,8.153200337090993e-17
127,mean_q_softmax,2.016768506753544e-16
127,mass_times_exp_mean_q,7.804900389180025e-17
127,partition_sum,1.533603972980746e-16
128,mean_q_softmax,6.505213034913027e-17
128,mass_times_exp_mean_q,3.122502256758253e-17
128,partition_sum,1.0408340855860843e-16
129,mean_q_softmax,9.194034422677078e-17
129,mass_times_exp_mean_q,1.231653667943533e-16
129,partition_sum,1.3270634591222574e-16
130,mean_q_softmax,7.025630077706069e-17
130,mass_times_exp_mean_q,7.632783294297951e-17
130,partition_sum,1.0234868508263162e-16
131,mean_q_softmax,1.943906732630729e-16
131,mass_times_exp_mean_q,2.0323708536419682e-16
131,partition_sum,2.0977956784878904e-16
132,mean_q_softmax,5.735429492448318e-17
132,mass_times_exp_mean_q,5.220433460517704e-17
132,partition_sum,1.0798653637955624e-16
133,mean_q_softmax,6.06069014419397e-17
133,mass_times_exp_mean_q,1.5764299587939234e-16
133,partition_sum,7.773729576721067e-17
134,mean_q_softmax,5.204170427930421e-17
134,mass_times_exp_mean_q,9.8879238130678e-17
134,partition_sum,1.5092094240998222e-16
135,mean_q_softmax,3.482999479109683e-18
135,mass_times_exp_mean_q,5.0523821237824507e-17
135,partition_sum,2.1033522146218786e-17
136,mean_q_softmax,1.0165750619767211e-16
136,mass_times_exp_mean_q,1.332484469984685e-16
136,partition_sum,1.194790794079026e-16
137,mean_q_softmax,2.26706674266719e-16
137,mass_times_exp_mean_q,3.916138247017642e-16
137,partition_sum,7.45931094670027e-17
138,mean_q_softmax,3.4619930620177763e-17
138,mass_times_exp_mean_q,2.2014725112318168e-16
138,partition_sum,1.3774788601428334e-16
139,mean_q_softmax,1.5959455978986625e-16
139,mass_times_exp_mean_q,1.3601316253830653e-16
139,partition_sum,9.130337545043554e-17
140,mean_q_softmax,1.6154612370034016e-16
140,mass_times_exp_mean_q,1.9569849213363355e-16
140,partition_sum,1.3639263329867646e-16
141,mean_q_softmax,1.0148132334464322e-16
141,mass_times_exp_mean_q,2.0090266256156397e-16
141,partition_sum,8.359198749863239e-17
