sample_index,hierarchical_probability_error,maxent_stationarity_range
93,1.1102230246251565e-16,2.220446049250313e-16
94,2.7755575615628914e-17,4.440892098500626e-16
95,5.551115123125783e-17,4.440892098500626e-16
96,1.3877787807814457e-17,4.440892098500626e-16
97,1.1102230246251565e-16,4.718447854656915e-16
98,1.3877787807814457e-17,4.440892098500626e-16
99,2.0816681711721685e-17,2.220446049250313e-16
100,1.3877787807814457e-17,4.440892098500626e-16
101,1.3877787807814457e-17,2.220446049250313e-16
102,5.551115123125783e-17,3.3306690738754696e-16
103,5.551115123125783e-17,2.220446049250313e-16
104,1.3877787807814457e-17,4.440892098500626e-16
105,1.3877787807814457e-17,3.3306690738754696e-16
106,6.938893903907228e-17,4.440892098500626e-16
107,5.551115123125783e-17,4.440892098500626e-16
108,2.7755575615628914e-17,2.220446049250313e-16
109,1.3877787807814457e-17,3.3306690738754696e-16
110,1.1102230246251565e-16,4.440892098500626e-16
111,1.1102230246251565e-16,4.440892098500626e-16
112,1.3877787807814457e-17,3.3306690738754696e-16
113,1.1102230246251565e-16,2.220446049250313e-16
114,2.7755575615628914e-17,4.440892098500626e-16
115,5.551115123125783e-17,2.7755575615628914e-16
116,5.551115123125783e-17,4.440892098500626e-16
117,2.220446049250313e-16,3.3306690738754696e-16
118,2.7755575615628914e-17,5.551115123125783e-16
119,1.1102230246251565e-16,4.440892098500626e-16
120,1.1102230246251565e-16,6.661338147750939e-16
121,1.1102230246251565e-16,2.498001805406602e-16
122,1.1102230246251565e-16,2.220446049250313e-16
123,2.220446049250313e-16,4.440892098500626e-16
124,5.551115123125783e-17,6.661338147750939e-16
125,5.551115123125783e-17,2.7755575615628914e-16
126,5.551115123125783e-17,3.885780586188048e-16
127,2.7755575615628914e-17,5.551115123125783e-16
128,2.7755575615628914e-17,6.661338147750939e-16
129,5.551115123125783e-17,4.440892098500626e-16
130,2.7755575615628914e-17,6.661338147750939e-16
131,5.551115123125783e-17,3.3306690738754696e-16
132,5.551115123125783e-17,4.440892098500626e-16
133,2.7755575615628914e-17,2.220446049250313e-16
134,5.551115123125783e-17,4.440892098500626e-16
135,2.220446049250313e-16,3.3306690738754696e-16
