sample_index,maximum_recursive_partition_sum_error
451,8.881784197001252e-16
452,2.220446049250313e-16
453,4.440892098500626e-16
454,4.440892098500626e-16
455,1.1102230246251565e-16
456,4.440892098500626e-16
457,2.220446049250313e-16
458,5.551115123125783e-17
459,4.440892098500626e-16
460,2.220446049250313e-16
461,2.220446049250313e-16
462,2.220446049250313e-16
463,2.220446049250313e-16
464,1.1102230246251565e-16
465,4.440892098500626e-16
466,4.440892098500626e-16
467,4.440892098500626e-16
468,0.0
469,2.7755575615628914e-17
470,2.220446049250313e-16
471,2.220446049250313e-16
472,2.220446049250313e-16
473,2.220446049250313e-16
474,1.3322676295501878e-15
475,2.220446049250313e-16
476,1.1102230246251565e-16
477,4.440892098500626e-16
478,8.881784197001252e-16
479,1.1102230246251565e-16
480,4.440892098500626e-16
481,1.1102230246251565e-16
482,1.1102230246251565e-16
483,5.551115123125783e-17
484,0.0
485,2.220446049250313e-16
486,5.551115123125783e-17
487,4.440892098500626e-16
488,4.440892098500626e-16
489,1.1102230246251565e-16
490,4.440892098500626e-16
491,8.881784197001252e-16
492,2.220446049250313e-16
493,2.220446049250313e-16
494,4.440892098500626e-16
495,4.440892098500626e-16
496,2.7755575615628914e-17
497,0.0
498,2.220446049250313e-16
499,4.440892098500626e-16
500,2.220446049250313e-16
501,4.440892098500626e-16
502,2.220446049250313e-16
503,0.0
504,0.0
505,1.1102230246251565e-16
506,4.440892098500626e-16
507,4.440892098500626e-16
508,1.1102230246251565e-16
509,2.220446049250313e-16
510,8.881784197001252e-16
511,0.0
512,4.440892098500626e-16
513,2.220446049250313e-16
514,1.3877787807814457e-17
515,8.881784197001252e-16
516,2.220446049250313e-16
517,5.551115123125783e-17
518,4.440892098500626e-16
519,4.440892098500626e-16
520,2.220446049250313e-16
521,4.440892098500626e-16
522,1.1102230246251565e-16
523,2.220446049250313e-16
524,2.7755575615628914e-17
525,2.220446049250313e-16
526,4.440892098500626e-16
527,2.220446049250313e-16
528,0.0
529,1.1102230246251565e-16
530,2.220446049250313e-16
531,2.220446049250313e-16
532,1.1102230246251565e-16
533,1.1102230246251565e-16
534,2.220446049250313e-16
535,2.220446049250313e-16
536,8.881784197001252e-16
537,4.440892098500626e-16
538,4.440892098500626e-16
539,4.440892098500626e-16
540,2.220446049250313e-16
541,2.220446049250313e-16
542,4.440892098500626e-16
543,2.220446049250313e-16
544,4.440892098500626e-16
545,4.440892098500626e-16
546,4.440892098500626e-16
547,4.440892098500626e-16
548,5.551115123125783e-17
549,2.220446049250313e-16
550,5.551115123125783e-17
551,1.1102230246251565e-16
552,4.440892098500626e-16
553,2.220446049250313e-16
554,2.220446049250313e-16
555,1.1102230246251565e-16
556,4.440892098500626e-16
557,2.220446049250313e-16
558,8.881784197001252e-16
559,2.220446049250313e-16
560,8.881784197001252e-16
561,1.1102230246251565e-16
562,1.1102230246251565e-16
563,1.1102230246251565e-16
564,4.440892098500626e-16
565,0.0
566,8.881784197001252e-16
567,1.1102230246251565e-16
568,1.1102230246251565e-16
569,4.440892098500626e-16
570,1.3877787807814457e-17
571,2.220446049250313e-16
572,1.1102230246251565e-16
573,2.220446049250313e-16
574,2.220446049250313e-16
575,2.220446049250313e-16
576,4.440892098500626e-16
577,5.551115123125783e-17
578,2.220446049250313e-16
579,2.220446049250313e-16
580,4.440892098500626e-16
581,2.220446049250313e-16
582,2.220446049250313e-16
583,2.220446049250313e-16
584,4.440892098500626e-16
585,1.1102230246251565e-16
586,4.440892098500626e-16
587,2.7755575615628914e-17
588,4.440892098500626e-16
589,4.440892098500626e-16
590,4.440892098500626e-16
591,1.1102230246251565e-16
592,2.220446049250313e-16
593,2.220446049250313e-16
594,2.220446049250313e-16
595,4.440892098500626e-16
596,4.440892098500626e-16
597,4.440892098500626e-16
598,4.440892098500626e-16
599,8.881784197001252e-16
600,0.0
601,2.220446049250313e-16
602,6.938893903907228e-18
603,4.440892098500626e-16
604,2.220446049250313e-16
605,1.734723475976807e-18
606,4.440892098500626e-16
607,4.440892098500626e-16
608,0.0
609,8.881784197001252e-16
610,4.440892098500626e-16
611,4.440892098500626e-16
612,2.220446049250313e-16
613,4.440892098500626e-16
614,4.440892098500626e-16
615,2.220446049250313e-16
616,4.440892098500626e-16
617,2.220446049250313e-16
618,0.0
619,1.1102230246251565e-16
620,2.220446049250313e-16
621,2.220446049250313e-16
622,4.440892098500626e-16
623,2.220446049250313e-16
624,2.220446049250313e-16
625,4.440892098500626e-16
626,2.220446049250313e-16
627,4.440892098500626e-16
628,5.551115123125783e-17
629,1.1102230246251565e-16
630,2.220446049250313e-16
631,4.440892098500626e-16
632,2.220446049250313e-16
633,2.220446049250313e-16
634,2.220446049250313e-16
635,2.220446049250313e-16
636,3.469446951953614e-18
637,8.881784197001252e-16
638,2.220446049250313e-16
639,2.220446049250313e-16
640,4.440892098500626e-16
641,1.1102230246251565e-16
642,2.220446049250313e-16
643,2.7755575615628914e-17
644,2.220446049250313e-16
645,2.7755575615628914e-17
646,4.440892098500626e-16
647,4.440892098500626e-16
648,4.440892098500626e-16
649,4.440892098500626e-16
650,4.440892098500626e-16
651,2.220446049250313e-16
652,2.220446049250313e-16
653,2.220446049250313e-16
654,4.440892098500626e-16
655,8.881784197001252e-16
656,2.220446049250313e-16
657,2.220446049250313e-16
658,4.440892098500626e-16
659,4.440892098500626e-16
660,2.220446049250313e-16
661,1.1102230246251565e-16
662,2.220446049250313e-16
663,4.440892098500626e-16
664,5.551115123125783e-17
665,2.220446049250313e-16
666,4.440892098500626e-16
667,8.881784197001252e-16
668,2.220446049250313e-16
669,8.881784197001252e-16
670,1.1102230246251565e-16
671,1.1102230246251565e-16
672,2.220446049250313e-16
673,2.220446049250313e-16
674,2.220446049250313e-16
675,2.7755575615628914e-17
676,2.220446049250313e-16
677,2.220446049250313e-16
678,2.220446049250313e-16
679,0.0
680,4.440892098500626e-16
681,4.440892098500626e-16
682,4.440892098500626e-16
683,1.1102230246251565e-16
684,2.220446049250313e-16
685,1.1102230246251565e-16
686,2.220446049250313e-16
687,4.440892098500626e-16
688,5.551115123125783e-17
689,2.220446049250313e-16
690,4.440892098500626e-16
691,4.440892098500626e-16
692,2.220446049250313e-16
693,0.0
694,2.220446049250313e-16
695,4.440892098500626e-16
696,2.220446049250313e-16
697,2.220446049250313e-16
698,2.220446049250313e-16
699,2.220446049250313e-16
700,1.1102230246251565e-16
701,2.220446049250313e-16
702,2.220446049250313e-16
703,4.440892098500626e-16
704,4.440892098500626e-16
705,2.220446049250313e-16
706,2.220446049250313e-16
707,4.440892098500626e-16
708,2.220446049250313e-16
709,5.551115123125783e-17
710,4.440892098500626e-16
711,1.1102230246251565e-16
712,8.881784197001252e-16
713,4.440892098500626e-16
714,8.881784197001252e-16
715,4.440892098500626e-16
716,1.1102230246251565e-16
717,1.1102230246251565e-16
718,2.220446049250313e-16
