sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
20,23,uniform_child,0.6041666666666665,0.36297302737520126,0.46829710144927533
20,23,descendant_count,2.0816681711721685e-17,3.469446951953614e-18,1.734723475976807e-17
20,23,base_mass,2.3071822230491534e-16,1.1434718912480454e-16,2.211772431870429e-16
20,23,mean_q_softmax,0.7975058581710883,0.4870755260276334,0.627992958566424
20,23,mass_times_exp_mean_q,0.30791798375282486,0.18050525548848506,0.24051672669724758
20,23,partition_sum,1.7965229998084808e-16,1.061072526139147e-16,1.9071116214020023e-16
21,10,uniform_child,0.5416666666666667,0.23750000000000004,0.45000000000000007
21,10,descendant_count,6.938893903907228e-17,3.700743415417188e-17,6.938893903907228e-17
21,10,base_mass,1.3357370765021415e-16,4.2500725161431774e-17,1.0581813203458523e-16
21,10,mean_q_softmax,0.5645644652992894,0.2695249460707171,0.43869746684206884
21,10,mass_times_exp_mean_q,0.5755177511733958,0.20142200873557783,0.4551327065185726
21,10,partition_sum,1.4544572143893042e-16,4.372948762358201e-17,1.142206988713479e-16
22,15,uniform_child,0.7708333333333334,0.3611111111111111,0.5666666666666665
22,15,descendant_count,6.938893903907228e-17,2.6599093298311043e-17,6.245004513516506e-17
22,15,base_mass,1.3010426069826053e-16,9.989116015833115e-17,1.474514954580286e-16
22,15,mean_q_softmax,0.9392036416587408,0.5518347820109758,0.7302283858005553
22,15,mass_times_exp_mean_q,0.4103546474887678,0.2493139247217293,0.2897270414245906
22,15,partition_sum,1.60136660876109e-16,9.936712910829648e-17,1.3010426069826053e-16
23,6,uniform_child,0.5,0.3333333333333333,0.33333333333333337
23,6,descendant_count,5.551115123125783e-17,9.25185853854297e-18,2.7755575615628914e-17
23,6,base_mass,1.1449174941446927e-16,9.540979117872439e-17,1.5959455978986625e-16
23,6,mean_q_softmax,0.8022841660182938,0.5873453787247279,0.7460586375323643
23,6,mass_times_exp_mean_q,0.2399822740535475,0.09773965116283374,0.14864888995608866
23,6,partition_sum,1.2880321809127793e-16,3.7730235602495554e-17,6.938893903907228e-17
24,13,uniform_child,0.611111111111111,0.3215811965811966,0.40064102564102566
24,13,descendant_count,8.326672684688674e-17,2.42861286636753e-17,8.326672684688674e-17
24,13,base_mass,1.3183898417423734e-16,8.442320916420461e-17,1.1796119636642288e-16
24,13,mean_q_softmax,0.5500894591984131,0.5328185817177156,0.7095551583537907
24,13,mass_times_exp_mean_q,0.2423541821745465,0.32217262345471226,0.44661095312244753
24,13,partition_sum,1.8111597291370352e-16,8.332997197361507e-17,1.2224379494774062e-16
25,7,uniform_child,0.5,0.2202380952380952,0.3571428571428571
25,7,descendant_count,0.0,0.0,0.0
25,7,base_mass,1.1449174941446927e-16,2.4575249243004766e-17,7.112366251504909e-17
25,7,mean_q_softmax,0.6152235652206548,0.45219871229661307,0.6303274801230465
25,7,mass_times_exp_mean_q,0.08803846282809727,0.03805460443247412,0.056093926134793186
25,7,partition_sum,1.8388068845354155e-16,6.591949208711867e-17,1.7694179454963432e-16
26,11,uniform_child,0.5694444444444444,0.2944023569023569,0.41414141414141414
26,11,descendant_count,1.0408340855860843e-16,3.8163916471489756e-17,6.938893903907228e-17
26,11,base_mass,1.4311468676808659e-16,7.762887554996212e-17,9.280770596475918e-17
26,11,mean_q_softmax,0.7651386596874366,0.37656362531586884,0.5830670875764359
26,11,mass_times_exp_mean_q,0.35234455222181726,0.12449087208110719,0.2798798991385806
26,11,partition_sum,1.0278236595162582e-16,3.520043053336271e-17,9.367506770274758e-17
