n,sample_index,model,relation_identical,order_measurable_q_identical,shared_random_q_identical,rank_gap_q_identical,coordinate_q_identical,coordinate_q_centered_rms_difference
32,30,power_anisotropic,True,True,True,True,False,0.19691390622942195
32,30,beta_skew,True,True,True,True,False,0.21252663128238677
32,31,power_anisotropic,True,True,True,True,False,0.1980725063721093
32,31,beta_skew,True,True,True,True,False,0.17827561541427286
32,32,power_anisotropic,True,True,True,True,False,0.21403149862144163
32,32,beta_skew,True,True,True,True,False,0.20427615532908472
32,33,power_anisotropic,True,True,True,True,False,0.21356493960412806
32,33,beta_skew,True,True,True,True,False,0.18820202207687717
32,34,power_anisotropic,True,True,True,True,False,0.20194722171780322
32,34,beta_skew,True,True,True,True,False,0.1726558963110052
32,35,power_anisotropic,True,True,True,True,False,0.21408336585260965
32,35,beta_skew,True,True,True,True,False,0.1761508853674155
32,36,power_anisotropic,True,True,True,True,False,0.19363369830702917
32,36,beta_skew,True,True,True,True,False,0.18074919352581198
32,37,power_anisotropic,True,True,True,True,False,0.19972613530275057
32,37,beta_skew,True,True,True,True,False,0.20247415747424158
32,38,power_anisotropic,True,True,True,True,False,0.22995299391566384
32,38,beta_skew,True,True,True,True,False,0.197410101483929
32,39,power_anisotropic,True,True,True,True,False,0.20729220099293266
32,39,beta_skew,True,True,True,True,False,0.17980568693921747
32,40,power_anisotropic,True,True,True,True,False,0.19384644511818938
32,40,beta_skew,True,True,True,True,False,0.1677848028371239
32,41,power_anisotropic,True,True,True,True,False,0.15681441186206824
32,41,beta_skew,True,True,True,True,False,0.18548873033079125
32,42,power_anisotropic,True,True,True,True,False,0.23467776327157588
32,42,beta_skew,True,True,True,True,False,0.20264531804779978
32,43,power_anisotropic,True,True,True,True,False,0.19657952208021273
32,43,beta_skew,True,True,True,True,False,0.17458100722035472
32,44,power_anisotropic,True,True,True,True,False,0.17546179648276974
32,44,beta_skew,True,True,True,True,False,0.20440806672018064
32,45,power_anisotropic,True,True,True,True,False,0.21792211628980515
32,45,beta_skew,True,True,True,True,False,0.2148145879107269
32,46,power_anisotropic,True,True,True,True,False,0.20356312543355704
32,46,beta_skew,True,True,True,True,False,0.2071419871775642
32,47,power_anisotropic,True,True,True,True,False,0.22381631673015676
32,47,beta_skew,True,True,True,True,False,0.1932371610275042
32,48,power_anisotropic,True,True,True,True,False,0.16118607865376636
32,48,beta_skew,True,True,True,True,False,0.1955737293611843
32,49,power_anisotropic,True,True,True,True,False,0.19808749227650657
32,49,beta_skew,True,True,True,True,False,0.1811526850325891
32,50,power_anisotropic,True,True,True,True,False,0.16131954253543473
32,50,beta_skew,True,True,True,True,False,0.1774051387418104
32,51,power_anisotropic,True,True,True,True,False,0.13991529312737697
32,51,beta_skew,True,True,True,True,False,0.14681166624604336
32,52,power_anisotropic,True,True,True,True,False,0.19231839874304824
32,52,beta_skew,True,True,True,True,False,0.199851596822293
32,53,power_anisotropic,True,True,True,True,False,0.1966379828869921
32,53,beta_skew,True,True,True,True,False,0.19695425387764767
32,54,power_anisotropic,True,True,True,True,False,0.19912341032229686
32,54,beta_skew,True,True,True,True,False,0.21504093647770145
32,55,power_anisotropic,True,True,True,True,False,0.21580085666145704
32,55,beta_skew,True,True,True,True,False,0.21818924937148804
32,56,power_anisotropic,True,True,True,True,False,0.1871364519728829
32,56,beta_skew,True,True,True,True,False,0.18400330094028058
32,57,power_anisotropic,True,True,True,True,False,0.2119933274577697
32,57,beta_skew,True,True,True,True,False,0.21958410757216473
32,58,power_anisotropic,True,True,True,True,False,0.17504838098799705
32,58,beta_skew,True,True,True,True,False,0.17003947518292517
32,59,power_anisotropic,True,True,True,True,False,0.19066170097439034
32,59,beta_skew,True,True,True,True,False,0.17215900965243514
32,60,power_anisotropic,True,True,True,True,False,0.1799641091800252
32,60,beta_skew,True,True,True,True,False,0.21716405418380844
32,61,power_anisotropic,True,True,True,True,False,0.203162898854755
32,61,beta_skew,True,True,True,True,False,0.19370859106179725
32,62,power_anisotropic,True,True,True,True,False,0.19030552738409276
32,62,beta_skew,True,True,True,True,False,0.1811752627446166
32,63,power_anisotropic,True,True,True,True,False,0.20288220251682298
32,63,beta_skew,True,True,True,True,False,0.20911457822527846
32,64,power_anisotropic,True,True,True,True,False,0.2110442000262828
32,64,beta_skew,True,True,True,True,False,0.2013336970365659
32,65,power_anisotropic,True,True,True,True,False,0.2039653251927097
32,65,beta_skew,True,True,True,True,False,0.18542034306741534
32,66,power_anisotropic,True,True,True,True,False,0.2176350049922316
32,66,beta_skew,True,True,True,True,False,0.194019663809007
32,67,power_anisotropic,True,True,True,True,False,0.2181493702427798
32,67,beta_skew,True,True,True,True,False,0.17491328580010201
32,68,power_anisotropic,True,True,True,True,False,0.2009395438773175
32,68,beta_skew,True,True,True,True,False,0.21586784989797977
32,69,power_anisotropic,True,True,True,True,False,0.18489034240915644
32,69,beta_skew,True,True,True,True,False,0.2070409678837904
32,70,power_anisotropic,True,True,True,True,False,0.20282177169886773
32,70,beta_skew,True,True,True,True,False,0.20455972838338196
32,71,power_anisotropic,True,True,True,True,False,0.19164119731813134
32,71,beta_skew,True,True,True,True,False,0.1637721563999003
32,72,power_anisotropic,True,True,True,True,False,0.1804811862930898
32,72,beta_skew,True,True,True,True,False,0.18585825533346265
32,73,power_anisotropic,True,True,True,True,False,0.20431393816944607
32,73,beta_skew,True,True,True,True,False,0.1817875169670638
32,74,power_anisotropic,True,True,True,True,False,0.20500137084203462
32,74,beta_skew,True,True,True,True,False,0.2083784322068208
