sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
40,-2.0,4.036465138261234e-16,2.220446049250313e-16,4.440892098500626e-16
40,-0.5,3.134658595170137e-16,4.440892098500626e-16,2.220446049250313e-16
40,0.75,3.915192678671277e-16,4.440892098500626e-16,2.220446049250313e-16
40,1.6,3.2354728240898064e-16,4.440892098500626e-16,3.3306690738754696e-16
41,-2.0,3.99369818208803e-16,1.3322676295501878e-15,4.440892098500626e-16
41,-0.5,2.1708990157097324e-16,4.440892098500626e-16,2.220446049250313e-16
41,0.75,3.7384018831135275e-16,4.440892098500626e-16,2.220446049250313e-16
41,1.6,3.4603293704442024e-16,4.440892098500626e-16,2.220446049250313e-16
42,-2.0,4.049539366216261e-16,4.440892098500626e-16,3.3306690738754696e-16
42,-0.5,3.575685069380619e-16,4.440892098500626e-16,1.1102230246251565e-16
42,0.75,4.1792139549386276e-16,4.440892098500626e-16,1.6653345369377348e-16
42,1.6,3.8174194779146814e-16,4.440892098500626e-16,3.3306690738754696e-16
43,-2.0,4.2173746306914376e-16,6.661338147750939e-16,4.579669976578771e-16
43,-0.5,3.333374535429491e-16,4.440892098500626e-16,2.220446049250313e-16
43,0.75,4.2831087163472327e-16,2.220446049250313e-16,1.1102230246251565e-16
43,1.6,3.9890263385820746e-16,6.661338147750939e-16,2.220446049250313e-16
44,-2.0,4.1878408783366117e-16,4.440892098500626e-16,5.551115123125783e-16
44,-0.5,3.5366889744306533e-16,4.440892098500626e-16,2.220446049250313e-16
44,0.75,3.5663603974707047e-16,4.440892098500626e-16,2.220446049250313e-16
44,1.6,4.599720787897267e-16,4.440892098500626e-16,3.3306690738754696e-16
45,-2.0,4.3876588665467734e-16,4.440892098500626e-16,4.440892098500626e-16
45,-0.5,3.4876754715868167e-16,4.440892098500626e-16,1.1102230246251565e-16
45,0.75,3.9551237855164325e-16,4.440892098500626e-16,2.220446049250313e-16
45,1.6,4.2728069188788746e-16,6.661338147750939e-16,2.220446049250313e-16
46,-2.0,4.3178838794096423e-16,1.1102230246251565e-15,3.885780586188048e-16
46,-0.5,2.927400853318484e-16,4.440892098500626e-16,2.220446049250313e-16
46,0.75,3.807131620003048e-16,4.440892098500626e-16,2.220446049250313e-16
46,1.6,3.4760116678654636e-16,4.440892098500626e-16,3.3306690738754696e-16
47,-2.0,4.243552326821624e-16,6.661338147750939e-16,4.996003610813204e-16
47,-0.5,3.6629407854247415e-16,4.440892098500626e-16,2.220446049250313e-16
47,0.75,4.053567747790969e-16,2.220446049250313e-16,4.440892098500626e-16
47,1.6,3.9530784501259693e-16,4.440892098500626e-16,4.440892098500626e-16
48,-2.0,3.8973097408941697e-16,8.881784197001252e-16,3.3306690738754696e-16
48,-0.5,3.3484802766745916e-16,4.440892098500626e-16,2.220446049250313e-16
48,0.75,3.986346819126911e-16,4.440892098500626e-16,2.220446049250313e-16
48,1.6,3.870631336625046e-16,4.440892098500626e-16,4.440892098500626e-16
49,-2.0,4.297284252076703e-16,6.661338147750939e-16,4.440892098500626e-16
49,-0.5,3.649754873869009e-16,4.440892098500626e-16,2.220446049250313e-16
49,0.75,3.4330344359287735e-16,4.440892098500626e-16,2.220446049250313e-16
49,1.6,3.736360945630007e-16,4.440892098500626e-16,4.440892098500626e-16
50,-2.0,4.134064092529505e-16,8.881784197001252e-16,3.3306690738754696e-16
50,-0.5,3.181843692120461e-16,4.440892098500626e-16,2.220446049250313e-16
50,0.75,3.7471203397225683e-16,6.661338147750939e-16,2.220446049250313e-16
50,1.6,3.919691119627821e-16,6.661338147750939e-16,4.440892098500626e-16
51,-2.0,4.061756195774564e-16,6.661338147750939e-16,5.551115123125783e-16
51,-0.5,3.553827623241435e-16,4.440892098500626e-16,2.220446049250313e-16
51,0.75,3.9467512643090935e-16,4.440892098500626e-16,1.1102230246251565e-16
51,1.6,3.394690018713283e-16,4.440892098500626e-16,3.3306690738754696e-16
52,-2.0,4.109176330429927e-16,6.661338147750939e-16,4.440892098500626e-16
52,-0.5,2.2067561525616362e-16,2.220446049250313e-16,1.1102230246251565e-16
52,0.75,2.901858277055879e-16,4.440892098500626e-16,4.440892098500626e-16
52,1.6,4.259077147094126e-16,4.440892098500626e-16,2.220446049250313e-16
53,-2.0,3.909833588754759e-16,6.661338147750939e-16,5.551115123125783e-16
53,-0.5,2.936756179963911e-16,6.661338147750939e-16,2.220446049250313e-16
53,0.75,3.999156784051801e-16,4.440892098500626e-16,2.220446049250313e-16
53,1.6,3.437645467718672e-16,6.661338147750939e-16,4.440892098500626e-16
