sample_index,lambda,closure_probability_error
228,2.0,5.551115123125783e-17
229,0.5,2.7755575615628914e-17
229,1.0,5.551115123125783e-17
229,2.0,4.163336342344337e-17
230,0.5,5.551115123125783e-17
230,1.0,5.551115123125783e-17
230,2.0,1.1102230246251565e-16
231,0.5,5.551115123125783e-17
231,1.0,1.1102230246251565e-16
231,2.0,5.551115123125783e-17
232,0.5,5.551115123125783e-17
232,1.0,5.551115123125783e-17
232,2.0,2.7755575615628914e-17
233,0.5,2.7755575615628914e-17
233,1.0,5.551115123125783e-17
233,2.0,1.1102230246251565e-16
234,0.5,5.551115123125783e-17
234,1.0,5.551115123125783e-17
234,2.0,5.551115123125783e-17
235,0.5,5.551115123125783e-17
235,1.0,2.7755575615628914e-17
235,2.0,5.551115123125783e-17
236,0.5,5.551115123125783e-17
236,1.0,1.1102230246251565e-16
236,2.0,5.551115123125783e-17
237,0.5,5.551115123125783e-17
237,1.0,1.1102230246251565e-16
237,2.0,1.1102230246251565e-16
238,0.5,5.551115123125783e-17
238,1.0,5.551115123125783e-17
238,2.0,5.551115123125783e-17
239,0.5,1.1102230246251565e-16
239,1.0,5.551115123125783e-17
239,2.0,1.3877787807814457e-17
240,0.5,2.7755575615628914e-17
240,1.0,0.0
240,2.0,1.1102230246251565e-16
241,0.5,5.551115123125783e-17
241,1.0,2.7755575615628914e-17
241,2.0,2.220446049250313e-16
242,0.5,8.326672684688674e-17
242,1.0,5.551115123125783e-17
242,2.0,5.551115123125783e-17
243,0.5,2.7755575615628914e-17
243,1.0,2.7755575615628914e-17
243,2.0,2.220446049250313e-16
244,0.5,5.551115123125783e-17
244,1.0,5.551115123125783e-17
244,2.0,5.551115123125783e-17
245,0.5,8.326672684688674e-17
245,1.0,5.551115123125783e-17
245,2.0,5.551115123125783e-17
246,0.5,5.551115123125783e-17
246,1.0,5.551115123125783e-17
246,2.0,5.551115123125783e-17
247,0.5,0.0
247,1.0,5.551115123125783e-17
247,2.0,5.551115123125783e-17
248,0.5,8.326672684688674e-17
248,1.0,5.551115123125783e-17
248,2.0,8.326672684688674e-17
249,0.5,2.7755575615628914e-17
249,1.0,8.326672684688674e-17
249,2.0,1.1102230246251565e-16
250,0.5,5.551115123125783e-17
250,1.0,5.551115123125783e-17
250,2.0,1.1102230246251565e-16
251,0.5,5.551115123125783e-17
251,1.0,5.551115123125783e-17
251,2.0,5.551115123125783e-17
252,0.5,2.7755575615628914e-17
252,1.0,2.7755575615628914e-17
252,2.0,1.3877787807814457e-17
253,0.5,5.551115123125783e-17
253,1.0,1.1102230246251565e-16
253,2.0,1.1102230246251565e-16
254,0.5,5.551115123125783e-17
254,1.0,5.551115123125783e-17
254,2.0,2.7755575615628914e-17
255,0.5,5.551115123125783e-17
255,1.0,5.551115123125783e-17
255,2.0,5.551115123125783e-17
256,0.5,5.551115123125783e-17
256,1.0,1.1102230246251565e-16
256,2.0,1.1102230246251565e-16
257,0.5,5.551115123125783e-17
257,1.0,8.326672684688674e-17
257,2.0,4.163336342344337e-17
258,0.5,5.551115123125783e-17
258,1.0,5.551115123125783e-17
258,2.0,1.1102230246251565e-16
259,0.5,2.7755575615628914e-17
259,1.0,1.1102230246251565e-16
259,2.0,1.1102230246251565e-16
260,0.5,5.551115123125783e-17
260,1.0,1.1102230246251565e-16
260,2.0,2.220446049250313e-16
261,0.5,5.551115123125783e-17
261,1.0,2.7755575615628914e-17
261,2.0,1.6653345369377348e-16
262,0.5,5.551115123125783e-17
262,1.0,2.7755575615628914e-17
262,2.0,2.7755575615628914e-17
263,0.5,2.7755575615628914e-17
263,1.0,5.551115123125783e-17
263,2.0,2.220446049250313e-16
264,0.5,5.551115123125783e-17
264,1.0,5.551115123125783e-17
264,2.0,1.1102230246251565e-16
265,0.5,5.551115123125783e-17
