sample_index,lambda,analytical_derivative,numerical_derivative,derivative_error,strictly_negative
1773,0.5504101238370457,-0.6291084456123344,-0.6291084456183649,6.030509425158925e-12,True
1774,1.2416686093984604,-0.9599172109999999,-0.9599172110075215,7.52153894723051e-12,True
1775,1.1585714471061785,-0.532897844862667,-0.5328978448626565,1.0547118733938987e-14,True
1776,0.30192049322886516,-0.8285777478148082,-0.8285777478134192,1.3890000261085333e-12,True
1777,2.5845111313285076,-0.06264982586940644,-0.0626498258604613,8.945136298343925e-12,True
1778,2.9275347416326585,-0.08185269760716271,-0.08185269764204861,3.4885899724557135e-11,True
1779,2.4307113295916234,-0.06516677142624541,-0.06516677141243932,1.3806095155999287e-11,True
1780,1.8493184472437654,-0.33636169468122146,-0.33636169470829813,2.707667423607063e-11,True
1781,2.625668849165417,-0.07115657667458378,-0.07115657667533526,7.514822097931528e-13,True
1782,1.1378297829906965,-0.5121656610779967,-0.5121656610929115,1.4914847135116815e-11,True
1783,1.3356335357425604,-0.35371125879941717,-0.35371125881034077,1.0923595361589378e-11,True
1784,0.15117815444001093,-1.028923031547871,-1.0289230315360665,1.180455733162944e-11,True
1785,0.6882975498991476,-0.6036819148495515,-0.6036819148513839,1.832423102143821e-12,True
1786,3.361286953070257,-0.05050754936500767,-0.050507549365086384,7.87148124459236e-14,True
1787,1.0328194424433528,-0.6210604916750438,-0.6210604916789819,3.938072090647893e-12,True
1788,0.7337293115404752,-0.7498382481807337,-0.7498382481707643,9.969469694226518e-12,True
1789,1.2993830645941202,-0.35259564326763565,-0.35259564327150267,3.867017817071883e-12,True
1790,1.2234868824079812,-0.3226608967624275,-0.3226608967732414,1.0813905326756412e-11,True
1791,2.536706739276074,-0.15928077433713964,-0.15928077432558752,1.1552120371405294e-11,True
1792,3.3227194682298498,-0.03945525109636052,-0.039455251099607125,3.2466043742296335e-12,True
1793,0.1570736557559892,-0.9172422708284096,-0.9172422708120241,1.6385448553535298e-11,True
1794,0.17159860682266104,-1.0833765706204486,-1.0833765705986487,2.1799895222329724e-11,True
1795,1.750954568365945,-0.29095023285892674,-0.2909502328729552,1.402844507225609e-11,True
1796,0.7150991567899503,-0.5615738773794458,-0.5615738773834256,3.979816476373799e-12,True
1797,3.6347095301173256,-0.021225908190517728,-0.021225908197752826,7.235097937430268e-12,True
1798,0.5150453675869006,-1.368601043948636,-1.3686010439106775,3.79585252119341e-11,True
1799,2.2295427859188575,-0.09037006133019396,-0.09037006132306401,7.12994940865741e-12,True
1800,3.3199380514176706,-0.04183924632894526,-0.04183924632306102,5.884244480558465e-12,True
1801,3.939502423397574,-0.02749262836492598,-0.027492628368319668,3.393688108310755e-12,True
1802,0.3421966225385845,-1.1259648735662267,-1.1259648735550964,1.113020786647212e-11,True
1803,2.908924331652548,-0.07418772532730768,-0.07418772535183749,2.4529808739792713e-11,True
1804,1.079168054456196,-0.5700317024463282,-0.5700317024515122,5.184075391184706e-12,True
1805,1.2902712423281903,-0.27184267984109833,-0.2718426798498097,8.71136496272129e-12,True
1806,1.3579540295118029,-0.23883294783564737,-0.23883294783533235,3.1502578323738817e-13,True
1807,3.6811127915204946,-0.0611113715454479,-0.061111371540967234,4.480665838357822e-12,True
1808,2.4775335518841124,-0.13394545055686463,-0.13394545055334106,3.5235703244040906e-12,True
1809,1.7764884695176586,-0.5017938886340017,-0.501793888629809,4.192646230194441e-12,True
1810,1.1291072086801586,-0.613222979689216,-0.6132229796951272,5.911160450011721e-12,True
1811,2.87613426226611,-0.05436365171968494,-0.05436365171362922,6.055725365605724e-12,True
1812,2.6112251150724792,-0.038971424433723194,-0.03897142443198831,1.734883070536597e-12,True
1813,2.210188810150246,-0.27373769859537095,-0.273737698586185,9.185929794597314e-12,True
1814,2.2802629021194325,-0.07237549833049067,-0.07237549831673462,1.3756051853164308e-11,True
1815,1.0658929377335014,-0.6209783539188984,-0.6209783539434799,2.458144798822559e-11,True
1816,0.7319960923265336,-0.42103787973039175,-0.42103787973868373,8.291978215169138e-12,True
1817,2.628283712153142,-0.08134830518094809,-0.08134830518091718,3.0905833448002795e-14,True
1818,0.5935730006994276,-1.38220874253286,-1.382208742484181,4.867906078231954e-11,True
1819,0.5248410553900626,-0.8098472673531492,-0.8098472673356837,1.746547351189065e-11,True
1820,3.1961820918461883,-0.13298070863162986,-0.13298070863365652,2.026656620301992e-12,True
1821,2.7642512664064913,-0.028989560996563364,-0.02898956100727545,1.071208746705743e-11,True
1822,3.9543376645173574,-0.03085553106764703,-0.030855531074625017,6.977987632161842e-12,True
