sample_index,lambda_first,lambda_second,total_variation
28,0.5,1.0,0.3016555806670097
28,0.5,2.0,0.6210759533198627
28,1.0,2.0,0.31942037265285295
29,0.5,1.0,0.3132793661182723
29,0.5,2.0,0.6461399888092401
29,1.0,2.0,0.33286062269096783
30,0.5,1.0,0.18045498245320055
30,0.5,2.0,0.37007202406596457
30,1.0,2.0,0.189617041612764
31,0.5,1.0,0.22288655689159217
31,0.5,2.0,0.5427628483491775
31,1.0,2.0,0.3198762914575854
32,0.5,1.0,0.2059320985581182
32,0.5,2.0,0.5094543825383545
32,1.0,2.0,0.30352228398023634
33,0.5,1.0,0.2594850453264707
33,0.5,2.0,0.5709241055035694
33,1.0,2.0,0.3114390601770988
34,0.5,1.0,0.08349940076021177
34,0.5,2.0,0.20114070979143406
34,1.0,2.0,0.11764130903122229
35,0.5,1.0,0.16911397782327267
35,0.5,2.0,0.38198548483785494
35,1.0,2.0,0.21287150701458227
36,0.5,1.0,0.0807562272940046
36,0.5,2.0,0.16750064643081347
36,1.0,2.0,0.08674441913680886
37,0.5,1.0,0.06303456234650018
37,0.5,2.0,0.09181644121147492
37,1.0,2.0,0.03409605659091447
38,0.5,1.0,0.09103737865682288
38,0.5,2.0,0.14046590241043994
38,1.0,2.0,0.04942852375361706
39,0.5,1.0,0.16561454842650658
39,0.5,2.0,0.42880015842760366
39,1.0,2.0,0.2631856100010971
40,0.5,1.0,0.14936628299979737
40,0.5,2.0,0.28722714957058537
40,1.0,2.0,0.1585211402269037
41,0.5,1.0,0.18819087637688606
41,0.5,2.0,0.43521008670936817
41,1.0,2.0,0.2538598674691924
42,0.5,1.0,0.1194807747988909
42,0.5,2.0,0.3033173777302725
42,1.0,2.0,0.19730038257813687
43,0.5,1.0,0.2585105244413736
43,0.5,2.0,0.5176562021636338
43,1.0,2.0,0.2989142828794179
44,0.5,1.0,0.18101985220771227
44,0.5,2.0,0.3865573013864583
44,1.0,2.0,0.22068317474224025
45,0.5,1.0,0.21567669509029633
45,0.5,2.0,0.38123155105521334
45,1.0,2.0,0.165554855964917
46,0.5,1.0,0.11038629692712612
46,0.5,2.0,0.2470799481720944
46,1.0,2.0,0.14217282477935456
47,0.5,1.0,0.18448849450005889
47,0.5,2.0,0.3876618693455602
47,1.0,2.0,0.21983642224790118
48,0.5,1.0,0.15748229982423542
48,0.5,2.0,0.3508375407550549
48,1.0,2.0,0.19335524093081954
49,0.5,1.0,0.10439366977907445
49,0.5,2.0,0.2001272648661067
49,1.0,2.0,0.10509211508714972
50,0.5,1.0,0.18318081014786883
50,0.5,2.0,0.36761651889641694
50,1.0,2.0,0.18443570874854806
51,0.5,1.0,0.19404801599974986
51,0.5,2.0,0.37940130195461924
51,1.0,2.0,0.18535328595486938
52,0.5,1.0,0.14896793179400208
52,0.5,2.0,0.32756690441085334
52,1.0,2.0,0.1785989726168513
53,0.5,1.0,0.2039526567202418
53,0.5,2.0,0.4870012332296054
53,1.0,2.0,0.3136589536753398
54,0.5,1.0,0.12744579567066847
54,0.5,2.0,0.29041625618587397
54,1.0,2.0,0.16781712352065786
55,0.5,1.0,0.1382400778627092
55,0.5,2.0,0.2838875895408598
55,1.0,2.0,0.14686899798413683
56,0.5,1.0,0.12838928187065024
56,0.5,2.0,0.30321107830874083
56,1.0,2.0,0.19151121301869914
57,0.5,1.0,0.14372209844611292
57,0.5,2.0,0.3665466184391359
57,1.0,2.0,0.2472397389216035
58,0.5,1.0,0.13168046351583115
58,0.5,2.0,0.3762367061293923
58,1.0,2.0,0.2461647450684291
59,0.5,1.0,0.17360035362080745
59,0.5,2.0,0.3503891563537617
59,1.0,2.0,0.17678880273295428
60,0.5,1.0,0.21575408421656325
60,0.5,2.0,0.3812072170987633
60,1.0,2.0,0.16545313288220007
61,0.5,1.0,0.1499307806060735
61,0.5,2.0,0.31636149300258054
61,1.0,2.0,0.166430712396507
62,0.5,1.0,0.3045155277035421
62,0.5,2.0,0.5467011694572557
62,1.0,2.0,0.24218564175371346
63,0.5,1.0,0.18028221196734895
63,0.5,2.0,0.5019563842315606
63,1.0,2.0,0.3329668506569605
64,0.5,1.0,0.17219764946745417
64,0.5,2.0,0.35551667558768796
64,1.0,2.0,0.18331902612023374
65,0.5,1.0,0.18429590421043895
65,0.5,2.0,0.40537967440543343
65,1.0,2.0,0.22108377019499445
66,0.5,1.0,0.16045747148373546
66,0.5,2.0,0.35912028980531585
