sample_index,function,relative_odds_error
151,logistic,1.8189500793253026e-16
152,exp_0_5,0.0
152,exp_1,1.8228759329206742e-16
152,exp_2,1.4964906118495053e-16
152,asinh,0.0
152,logistic,0.0
153,exp_0_5,0.0
153,exp_1,0.0
153,exp_2,1.3905659224648972e-16
153,asinh,1.8966585078031026e-16
153,logistic,1.8631294899565676e-16
154,exp_0_5,1.2811942235564916e-16
154,exp_1,0.0
154,exp_2,0.0
154,asinh,1.1626587315172926e-16
154,logistic,0.0
155,exp_0_5,0.0
155,exp_1,1.9019541820673723e-16
155,exp_2,0.0
155,asinh,0.0
155,logistic,0.0
156,exp_0_5,0.0
156,exp_1,0.0
156,exp_2,0.0
156,asinh,0.0
156,logistic,0.0
157,exp_0_5,1.2154966435734621e-16
157,exp_1,0.0
157,exp_2,1.595086966145477e-16
157,asinh,1.4179314483294592e-16
157,logistic,2.4534297378629127e-16
158,exp_0_5,1.417954064505173e-16
158,exp_1,0.0
158,exp_2,0.0
158,asinh,1.8000431356830433e-16
158,logistic,0.0
159,exp_0_5,2.0243112364743705e-16
159,exp_1,0.0
159,exp_2,0.0
159,asinh,1.8734557500960925e-16
159,logistic,2.0641389248178276e-16
160,exp_0_5,1.5697938386202335e-16
160,exp_1,0.0
160,exp_2,2.2187572809382611e-16
160,asinh,1.9546667920079585e-16
160,logistic,0.0
161,exp_0_5,1.6429437078148223e-16
161,exp_1,0.0
161,exp_2,0.0
161,asinh,1.8163391688706305e-16
161,logistic,1.581798724992015e-16
162,exp_0_5,1.7118310162287758e-16
162,exp_1,0.0
162,exp_2,1.5687469092443552e-16
162,asinh,0.0
162,logistic,0.0
163,exp_0_5,0.0
163,exp_1,1.2654858655305027e-16
163,exp_2,0.0
163,asinh,0.0
163,logistic,1.491024860994519e-16
164,exp_0_5,2.1995208763416949e-16
164,exp_1,0.0
164,exp_2,0.0
164,asinh,0.0
164,logistic,0.0
165,exp_0_5,1.8073144711400263e-16
165,exp_1,0.0
165,exp_2,0.0
165,asinh,0.0
165,logistic,1.5280208071530296e-16
166,exp_0_5,1.7564423943476371e-16
166,exp_1,1.389400965496674e-16
166,exp_2,0.0
166,asinh,0.0
166,logistic,0.0
167,exp_0_5,0.0
167,exp_1,0.0
167,exp_2,0.0
167,asinh,0.0
167,logistic,1.2815011539508913e-16
168,exp_0_5,0.0
168,exp_1,0.0
168,exp_2,1.7076117435740056e-16
168,asinh,0.0
168,logistic,0.0
169,exp_0_5,1.6526566195107566e-16
169,exp_1,0.0
169,exp_2,0.0
169,asinh,0.0
169,logistic,0.0
170,exp_0_5,0.0
170,exp_1,2.3024046030793766e-16
170,exp_2,1.1936941584486814e-16
170,asinh,0.0
170,logistic,0.0
171,exp_0_5,0.0
171,exp_1,1.5280182048544957e-16
171,exp_2,2.1030365814607961e-16
171,asinh,1.2562535851463556e-16
171,logistic,0.0
172,exp_0_5,2.5045409612594256e-16
172,exp_1,1.4124921946975792e-16
172,exp_2,1.7970571280083112e-16
172,asinh,1.3210274280843657e-16
172,logistic,0.0
173,exp_0_5,0.0
173,exp_1,1.4880310646413095e-16
173,exp_2,0.0
173,asinh,0.0
173,logistic,0.0
174,exp_0_5,2.585064062918565e-16
174,exp_1,0.0
174,exp_2,2.0395509966149223e-16
174,asinh,0.0
174,logistic,2.258191813159489e-16
175,exp_0_5,0.0
175,exp_1,1.4306180053559805e-16
175,exp_2,3.686949075731406e-16
175,asinh,1.2178673294457343e-16
175,logistic,1.1307946634743554e-16
176,exp_0_5,1.6082604191858202e-16
176,exp_1,1.164856753350539e-16
176,exp_2,2.444357981648749e-16
176,asinh,0.0
176,logistic,1.6538189805439484e-16
177,exp_0_5,1.3810603178126192e-16
177,exp_1,0.0
177,exp_2,1.3291986824869632e-16
177,asinh,1.6422610369151483e-16
177,logistic,0.0
178,exp_0_5,0.0
178,exp_1,0.0
178,exp_2,2.1038055808633083e-16
178,asinh,0.0
178,logistic,1.5439216771483873e-16
179,exp_0_5,0.0
179,exp_1,0.0
179,exp_2,0.0
179,asinh,0.0
179,logistic,0.0
180,exp_0_5,0.0
180,exp_1,1.1979112527744427e-16
180,exp_2,0.0
180,asinh,0.0
180,logistic,1.5086518123895413e-16
181,exp_0_5,1.847603552023502e-16
181,exp_1,1.5373662812489434e-16
181,exp_2,2.1288471147670439e-16
181,asinh,0.0
181,logistic,0.0
182,exp_0_5,0.0
182,exp_1,1.6910412716577354e-16
182,exp_2,0.0
182,asinh,1.2024534475693988e-16
182,logistic,0.0
183,exp_0_5,2.0363378945280392e-16
183,exp_1,0.0
183,exp_2,1.5706473877423382e-16
183,asinh,0.0
183,logistic,0.0
184,exp_0_5,0.0
184,exp_1,0.0
184,exp_2,0.0
184,asinh,1.9291942869622697e-16
184,logistic,0.0
185,exp_0_5,0.0
185,exp_1,2.0551994255517667e-16
185,exp_2,0.0
185,asinh,0.0
185,logistic,0.0
186,exp_0_5,2.1878123959282752e-16
186,exp_1,0.0
186,exp_2,2.0927610237180703e-16
186,asinh,1.365142783700451e-16
186,logistic,1.5483312425251724e-16
187,exp_0_5,1.4308402653684554e-16
187,exp_1,1.844047384705339e-16
187,exp_2,0.0
187,asinh,1.6852724115071498e-16
187,logistic,1.5560314986583468e-16
188,exp_0_5,1.9553788047519626e-16
188,exp_1,0.0
188,exp_2,0.0
188,asinh,1.3909557240288404e-16
188,logistic,0.0
189,exp_0_5,0.0
189,exp_1,2.1535834556930007e-16
189,exp_2,0.0
189,asinh,1.919898194977014e-16
189,logistic,1.9754411307315352e-16
190,exp_0_5,0.0
190,exp_1,0.0
190,exp_2,0.0
190,asinh,1.6721414527514157e-16
190,logistic,0.0
191,exp_0_5,0.0
191,exp_1,0.0
191,exp_2,1.265340958241427e-16
191,asinh,1.6169582357732516e-16
