copula,marginal,permutation_code,count,probability
independence,beta_skew,17,120,0.0012
independence,beta_skew,18,141,0.00141
independence,beta_skew,19,142,0.00142
independence,beta_skew,20,141,0.00141
independence,beta_skew,21,140,0.0014
independence,beta_skew,22,141,0.00141
independence,beta_skew,23,159,0.00159
independence,beta_skew,24,140,0.0014
independence,beta_skew,25,131,0.00131
independence,beta_skew,26,152,0.00152
independence,beta_skew,27,135,0.00135
independence,beta_skew,28,129,0.00129
independence,beta_skew,29,137,0.00137
independence,beta_skew,30,141,0.00141
independence,beta_skew,31,135,0.00135
independence,beta_skew,32,134,0.00134
independence,beta_skew,33,128,0.00128
independence,beta_skew,34,131,0.00131
independence,beta_skew,35,144,0.00144
independence,beta_skew,36,138,0.00138
independence,beta_skew,37,149,0.00149
independence,beta_skew,38,120,0.0012
independence,beta_skew,39,139,0.00139
independence,beta_skew,40,126,0.00126
independence,beta_skew,41,138,0.00138
independence,beta_skew,42,123,0.00123
independence,beta_skew,43,149,0.00149
independence,beta_skew,44,129,0.00129
independence,beta_skew,45,135,0.00135
independence,beta_skew,46,125,0.00125
independence,beta_skew,47,136,0.00136
independence,beta_skew,48,155,0.00155
independence,beta_skew,49,154,0.00154
independence,beta_skew,50,144,0.00144
independence,beta_skew,51,140,0.0014
independence,beta_skew,52,126,0.00126
independence,beta_skew,53,127,0.00127
independence,beta_skew,54,153,0.00153
independence,beta_skew,55,142,0.00142
independence,beta_skew,56,129,0.00129
independence,beta_skew,57,113,0.00113
independence,beta_skew,58,119,0.00119
independence,beta_skew,59,124,0.00124
independence,beta_skew,60,136,0.00136
independence,beta_skew,61,146,0.00146
independence,beta_skew,62,122,0.00122
independence,beta_skew,63,139,0.00139
independence,beta_skew,64,123,0.00123
independence,beta_skew,65,144,0.00144
independence,beta_skew,66,130,0.0013
independence,beta_skew,67,157,0.00157
independence,beta_skew,68,148,0.00148
independence,beta_skew,69,132,0.00132
independence,beta_skew,70,135,0.00135
independence,beta_skew,71,155,0.00155
independence,beta_skew,72,146,0.00146
independence,beta_skew,73,136,0.00136
independence,beta_skew,74,130,0.0013
independence,beta_skew,75,123,0.00123
independence,beta_skew,76,162,0.00162
independence,beta_skew,77,153,0.00153
independence,beta_skew,78,136,0.00136
independence,beta_skew,79,144,0.00144
independence,beta_skew,80,158,0.00158
independence,beta_skew,81,125,0.00125
independence,beta_skew,82,129,0.00129
independence,beta_skew,83,142,0.00142
independence,beta_skew,84,146,0.00146
independence,beta_skew,85,156,0.00156
independence,beta_skew,86,138,0.00138
independence,beta_skew,87,136,0.00136
independence,beta_skew,88,132,0.00132
independence,beta_skew,89,143,0.00143
independence,beta_skew,90,151,0.00151
independence,beta_skew,91,136,0.00136
independence,beta_skew,92,134,0.00134
independence,beta_skew,93,126,0.00126
independence,beta_skew,94,140,0.0014
independence,beta_skew,95,125,0.00125
independence,beta_skew,96,123,0.00123
independence,beta_skew,97,152,0.00152
independence,beta_skew,98,127,0.00127
independence,beta_skew,99,128,0.00128
independence,beta_skew,100,147,0.00147
independence,beta_skew,101,131,0.00131
independence,beta_skew,102,162,0.00162
independence,beta_skew,103,147,0.00147
independence,beta_skew,104,154,0.00154
independence,beta_skew,105,124,0.00124
independence,beta_skew,106,129,0.00129
independence,beta_skew,107,120,0.0012
independence,beta_skew,108,137,0.00137
independence,beta_skew,109,154,0.00154
independence,beta_skew,110,163,0.00163
independence,beta_skew,111,143,0.00143
independence,beta_skew,112,143,0.00143
independence,beta_skew,113,121,0.00121
independence,beta_skew,114,136,0.00136
independence,beta_skew,115,153,0.00153
independence,beta_skew,116,130,0.0013
independence,beta_skew,117,132,0.00132
independence,beta_skew,118,138,0.00138
independence,beta_skew,119,148,0.00148
independence,beta_skew,120,132,0.00132
independence,beta_skew,121,135,0.00135
independence,beta_skew,122,137,0.00137
independence,beta_skew,123,143,0.00143
independence,beta_skew,124,131,0.00131
independence,beta_skew,125,138,0.00138
independence,beta_skew,126,147,0.00147
independence,beta_skew,127,158,0.00158
independence,beta_skew,128,144,0.00144
independence,beta_skew,129,145,0.00145
independence,beta_skew,130,137,0.00137
