n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,local_log_odds_shift_error,beta_q_scale_degeneracy_error
16,65,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.31861966272204456,0.0,1.1102230246251565e-16
16,66,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3155005666068735,0.0,1.1102230246251565e-16
16,67,True,True,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.42490805207185256,0.0,1.1102230246251565e-16
16,68,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5967306795575507,0.0,1.1102230246251565e-16
16,69,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.21694707980953043,4.440892098500626e-16,1.1102230246251565e-16
16,70,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4779399133246477,0.0,1.1102230246251565e-16
16,71,True,True,1.1102230246251565e-16,1.6653345369377348e-16,5.551115123125783e-17,0.0,0.126798429282748,0.0,1.1102230246251565e-16
16,72,True,True,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2685576847094907,0.0,1.1102230246251565e-16
16,73,True,True,2.220446049250313e-16,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.1313760269293936,4.440892098500626e-16,2.220446049250313e-16
16,74,True,True,1.6653345369377348e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.21169321235603533,4.440892098500626e-16,1.1102230246251565e-16
16,75,True,True,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2907741594684151,0.0,1.1102230246251565e-16
16,76,True,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.48344206572909654,4.440892098500626e-16,1.1102230246251565e-16
16,77,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3681702917811885,4.440892098500626e-16,1.1102230246251565e-16
16,78,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.39330974409583447,0.0,5.551115123125783e-17
16,79,True,True,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,0.0,0.5775553052215676,0.0,5.551115123125783e-17
32,0,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3864447997606332,4.440892098500626e-16,1.1102230246251565e-16
32,1,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.33998349507864106,0.0,1.6653345369377348e-16
32,2,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3411995519606806,4.440892098500626e-16,1.1102230246251565e-16
32,3,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.36621289763644505,0.0,1.1102230246251565e-16
32,4,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.39673263159611805,0.0,1.1102230246251565e-16
32,5,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.46900740431532956,0.0,1.6653345369377348e-16
32,6,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3327346461585502,0.0,2.220446049250313e-16
32,7,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.3827727077364317,4.440892098500626e-16,1.1102230246251565e-16
32,8,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.16963479936037346,0.0,1.6653345369377348e-16
32,9,True,True,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.30867623076534084,4.440892098500626e-16,1.1102230246251565e-16
32,10,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3644551435489923,0.0,1.1102230246251565e-16
32,11,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.355930152848689,4.440892098500626e-16,1.1102230246251565e-16
32,12,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.10497380923285689,0.0,1.1102230246251565e-16
32,13,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.40143797193098474,0.0,1.1102230246251565e-16
32,14,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.23876006927689075,0.0,1.1102230246251565e-16
32,15,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.17099082868493587,4.440892098500626e-16,1.1102230246251565e-16
32,16,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.21737416680298793,8.881784197001252e-16,1.1102230246251565e-16
32,17,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.286645313837684,0.0,1.1102230246251565e-16
32,18,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.33042010521807974,4.440892098500626e-16,1.6653345369377348e-16
32,19,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3367023159804036,0.0,1.1102230246251565e-16
32,20,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.41682169560016213,0.0,1.1102230246251565e-16
32,21,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.24355322818507424,0.0,1.6653345369377348e-16
32,22,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.06403665132434631,0.0,1.1102230246251565e-16
32,23,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.24007262453120798,8.881784197001252e-16,1.1102230246251565e-16
32,24,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.30840518932393085,0.0,5.551115123125783e-17
32,25,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.39522810892576976,0.0,1.1102230246251565e-16
32,26,True,True,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,0.0,0.2947752042376522,4.440892098500626e-16,1.1102230246251565e-16
32,27,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.37606659170651696,0.0,1.1102230246251565e-16
32,28,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2880070584087818,0.0,1.1102230246251565e-16
32,29,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.22088763957685734,4.440892098500626e-16,1.1102230246251565e-16
32,30,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34650859092989805,0.0,1.1102230246251565e-16
