sample_index,epsilon,base_weighted_sd,total_variation,nonincreasing_from_previous
26,1e-06,0.741509111935562,5.012827681374556e-07,True
27,0.1,0.9758545372556868,0.01004973745928407,True
27,0.01,0.9758545372556868,0.0010191814172072443,True
27,0.001,0.9758545372556868,0.00010206241315496365,True
27,0.0001,0.9758545372556868,1.0207686259052891e-05,True
27,1e-05,0.9758545372556868,1.020783077589097e-06,True
27,1e-06,0.9758545372556868,1.0207845222484342e-07,True
28,0.1,0.9791485778941214,0.02374026902755337,True
28,0.01,0.9791485778941214,0.002425735846363298,True
28,0.001,0.9791485778941214,0.00024310270750465938,True
28,0.0001,0.9791485778941214,2.4315574281344613e-05,True
