sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
139,9,0.003948127541290042,0.0039481275412900346,7.806255641895632e-18,1.3944921362575733,5.381769662760315e-08,True,5.381769662760315e-08
140,12,0.00195056565301054,0.0019505656530105387,1.3010426069826053e-18,-0.1278236699823035,-2.5444001382664203e-09,True,2.5444001382664203e-09
141,13,0.0015814179451694172,0.0015814179451694148,2.3852447794681098e-18,2.0844512856204878,7.970978781309837e-08,True,7.970978781309837e-08
142,11,0.0024333952648429424,0.002433395264842939,3.469446951953614e-18,-1.3778759483221803,-4.2538931505024716e-08,True,4.2538931505024716e-08
143,13,0.0015814179451694175,0.0015814179451694148,2.6020852139652106e-18,-1.693162172024505,-7.425740331896436e-08,True,7.425740331896436e-08
144,10,0.003075858842954011,0.003075858842954005,6.071532165918825e-18,2.2453288385832613,7.866197361628396e-08,True,7.866197361628396e-08
145,10,0.0030758588429540164,0.003075858842954005,1.1275702593849246e-17,-0.9819287038634996,-5.1689803219110246e-08,True,5.1689803219110246e-08
146,12,0.0019505656530105421,0.0019505656530105387,3.469446951953614e-18,1.0822789592243343,4.2275607231694896e-08,True,4.2275607231694896e-08
147,9,0.003948127541290036,0.0039481275412900346,1.734723475976807e-18,-0.6941307752413101,-1.4624581763736115e-08,True,1.4624581763736115e-08
148,12,0.0019505656530105421,0.0019505656530105387,3.469446951953614e-18,0.8419594338072525,3.109597886354895e-08,True,3.109597886354895e-08
149,11,0.0024333952648429437,0.002433395264842939,4.7704895589362195e-18,1.634086961775848,5.8427055263484466e-08,True,5.8427055263484466e-08
150,13,0.0015814179451694172,0.0015814179451694148,2.3852447794681098e-18,0.6367043684967202,2.54572857329257e-08,True,2.54572857329257e-08
151,8,0.005161146325458146,0.005161146325458139,6.938893903907228e-18,-0.22509254991236258,-6.9717103444606814e-09,True,6.9717103444606814e-09
152,7,0.006897835113497357,0.006897835113497354,3.469446951953614e-18,0.9331914561130035,2.4529309171655032e-08,True,2.4529309171655032e-08
153,9,0.003948127541290036,0.0039481275412900346,1.734723475976807e-18,-0.9506443917748278,-1.3746131438783533e-08,True,1.3746131438783533e-08
154,5,0.013483418194656809,0.013483418194656805,3.469446951953614e-18,2.5068974830240447,4.8414125979766394e-08,True,4.8414125979766394e-08
155,8,0.00516114632545814,0.005161146325458139,8.673617379884035e-19,0.36479041516907035,6.3047848964915e-09,True,6.3047848964915e-09
156,10,0.00307585884295401,0.003075858842954005,4.7704895589362195e-18,1.4330231255864365,4.4382975642308727e-08,True,4.4382975642308727e-08
157,3,0.03204596369141009,0.0320459636914101,6.938893903907228e-18,1.9566369523836937,3.135234200847265e-08,True,3.135234200847265e-08
