sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1400,weighted_raw,8,6,5,1.196959198423997e-16,1.1102230246251565e-16,True
1400,weighted_z,8,6,5,7.719519468096792e-17,1.1102230246251565e-16,True
1401,unweighted_raw,7,4,1,0.32492071880478046,0.3249207188047806,False
1401,unweighted_z,7,4,1,0.3295306646089953,0.32953066460899527,False
1401,weighted_raw,7,4,1,1.214306433183765e-16,1.1102230246251565e-16,True
1401,weighted_z,7,4,1,4.5102810375396984e-17,2.7755575615628914e-17,True
1402,unweighted_raw,4,5,1,0.37596135620920595,0.37596135620920595,False
1402,unweighted_z,4,5,1,0.37143967693010904,0.37143967693010904,False
1402,weighted_raw,4,5,1,2.7755575615628914e-17,5.551115123125783e-17,True
1402,weighted_z,4,5,1,2.7755575615628914e-17,5.551115123125783e-17,True
1403,unweighted_raw,9,3,3,0.02395233637972738,0.023952336379727268,False
1403,unweighted_z,9,3,3,0.054043916641887214,0.03601856427178265,False
1403,weighted_raw,9,3,3,7.806255641895632e-17,5.551115123125783e-17,True
1403,weighted_z,9,3,3,1.734723475976807e-18,3.469446951953614e-18,True
1404,unweighted_raw,6,6,3,0.40049854613954367,0.40049854613954355,False
1404,unweighted_z,6,6,3,0.28824975488124577,0.2882497548812457,False
1404,weighted_raw,6,6,3,0.0,0.0,True
1404,weighted_z,6,6,3,0.0,0.0,True
1405,unweighted_raw,7,3,3,0.1776107556215771,0.17761075562157713,False
1405,unweighted_z,7,3,3,0.1570281018420271,0.1570281018420271,False
1405,weighted_raw,7,3,3,0.0,0.0,True
1405,weighted_z,7,3,3,1.3877787807814457e-17,2.7755575615628914e-17,True
1406,unweighted_raw,10,4,7,0.3332877615532226,0.33328776155322254,False
1406,unweighted_z,10,4,7,0.30574616461967863,0.3057461646196787,False
1406,weighted_raw,10,4,7,2.7755575615628914e-17,5.551115123125783e-17,True
1406,weighted_z,10,4,7,3.469446951953614e-17,5.551115123125783e-17,True
1407,unweighted_raw,4,2,1,0.16447394937490112,0.16447394937490123,False
1407,unweighted_z,4,2,1,0.16426444758741515,0.1642644475874152,False
1407,weighted_raw,4,2,1,2.7755575615628914e-17,5.551115123125783e-17,True
1407,weighted_z,4,2,1,0.0,0.0,True
1408,unweighted_raw,5,6,2,0.3058606190321702,0.3058606190321702,False
