sample_index,shift_covariance_error,affine_rescaling_identity_error
604,0.0,0.0
605,0.0,4.440892098500626e-16
606,4.440892098500626e-16,0.0
607,0.0,4.440892098500626e-16
608,5.551115123125783e-17,0.0
609,0.0,8.881784197001252e-16
610,0.0,0.0
611,4.440892098500626e-16,0.0
612,1.8041124150158794e-16,3.3306690738754696e-16
613,2.220446049250313e-16,1.942890293094024e-16
614,0.0,0.0
615,0.0,0.0
616,4.440892098500626e-16,0.0
617,2.220446049250313e-16,2.220446049250313e-16
618,0.0,0.0
619,0.0,2.220446049250313e-16
620,2.220446049250313e-16,4.440892098500626e-16
621,4.440892098500626e-16,0.0
622,0.0,0.0
623,1.1102230246251565e-16,0.0
624,0.0,2.220446049250313e-16
625,4.440892098500626e-16,0.0
626,4.440892098500626e-16,6.661338147750939e-16
627,2.220446049250313e-16,4.440892098500626e-16
628,0.0,0.0
629,0.0,0.0
630,0.0,4.440892098500626e-16
631,2.220446049250313e-16,2.220446049250313e-16
632,0.0,0.0
633,0.0,0.0
634,1.6653345369377348e-16,1.1102230246251565e-16
635,0.0,4.440892098500626e-16
636,4.440892098500626e-16,0.0
637,4.440892098500626e-16,0.0
638,4.440892098500626e-16,0.0
639,4.440892098500626e-16,8.881784197001252e-16
640,0.0,4.440892098500626e-16
641,0.0,2.7755575615628914e-17
642,0.0,0.0
643,2.220446049250313e-16,0.0
644,0.0,4.440892098500626e-16
645,4.440892098500626e-16,4.440892098500626e-16
646,0.0,0.0
647,4.440892098500626e-16,0.0
648,0.0,0.0
649,2.220446049250313e-16,0.0
650,2.220446049250313e-16,1.1102230246251565e-16
651,4.440892098500626e-16,0.0
652,0.0,8.881784197001252e-16
653,1.6653345369377348e-16,2.220446049250313e-16
654,6.938893903907228e-17,9.367506770274758e-17
655,0.0,2.220446049250313e-16
656,2.220446049250313e-16,1.1102230246251565e-16
657,0.0,4.440892098500626e-16
658,0.0,0.0
659,4.440892098500626e-16,4.440892098500626e-16
660,4.440892098500626e-16,2.706168622523819e-16
661,0.0,0.0
662,1.1102230246251565e-16,4.996003610813204e-16
663,0.0,0.0
664,4.440892098500626e-16,0.0
665,0.0,1.1102230246251565e-16
666,0.0,0.0
667,2.220446049250313e-16,2.220446049250313e-16
668,2.220446049250313e-16,2.220446049250313e-16
669,4.440892098500626e-16,1.1102230246251565e-16
670,1.6653345369377348e-16,5.551115123125783e-17
671,4.440892098500626e-16,4.440892098500626e-16
672,0.0,1.1102230246251565e-16
673,0.0,0.0
674,2.7755575615628914e-17,1.942890293094024e-16
675,4.440892098500626e-16,0.0
676,5.551115123125783e-17,0.0
677,0.0,8.881784197001252e-16
678,2.220446049250313e-16,0.0
679,0.0,4.440892098500626e-16
680,0.0,1.6653345369377348e-16
681,2.220446049250313e-16,0.0
682,0.0,0.0
683,0.0,0.0
684,4.440892098500626e-16,4.440892098500626e-16
685,0.0,4.440892098500626e-16
686,0.0,2.220446049250313e-16
687,0.0,0.0
688,0.0,5.551115123125783e-17
689,2.220446049250313e-16,4.440892098500626e-16
690,0.0,0.0
691,0.0,0.0
692,0.0,1.1102230246251565e-16
693,4.440892098500626e-16,4.440892098500626e-16
694,0.0,5.551115123125783e-17
695,0.0,0.0
