sample_index,lambda,second_order_error,third_order_error,fourth_order_error
33,0.05,7.463932028403675e-05,4.22409944245139e-07,2.165167484191599e-08
33,0.1,0.0002966920283810903,3.5548925320372238e-06,3.4882637683919526e-07
33,0.2,0.0011696883186208817,3.129936503168396e-05,5.650835790016462e-06
34,0.025,6.596903102958074e-06,9.214473462373918e-08,6.521908707535218e-10
34,0.05,2.675092670706078e-05,7.318932337165018e-07,1.0482170253317546e-08
34,0.1,0.00010984598506273008,5.769851169352969e-06,1.6915206239864755e-07
34,0.2,0.000461068693877853,4.476415830435149e-05,2.7478675496614424e-06
35,0.025,3.701623106917677e-05,3.750093960949545e-08,3.830930274178676e-09
35,0.05,0.00014818365688172574,2.6873636345663837e-07,6.191859561275465e-08
35,0.1,0.0005932945234643945,1.634841391318087e-06,1.010398281237057e-06
35,0.2,0.0023710243243803553,4.385596088056498e-06,1.6776321292370777e-05
36,0.025,2.4154374046975874e-05,2.401913787968002e-07,1.4526831508543392e-09
36,0.05,9.566857316392098e-05,1.9096885391627766e-06,2.3463956404581876e-08
36,0.1,0.00037522990129305184,1.5083145519284927e-05,3.8207444525979566e-07
36,0.2,0.0014438307699473109,0.00011742141730203617,6.30034241432334e-06
37,0.025,8.082795515135938e-06,9.667159990220386e-08,9.61503435897848e-10
37,0.05,3.1936826675746724e-05,7.810417844006379e-07,1.536101267886336e-08
37,0.1,0.0001245011002845471,6.370373556044721e-06,2.4492738226900707e-07
37,0.2,0.00047059792654591953,5.2887968816448666e-05,3.884399426244689e-06
38,0.025,1.3685788338213545e-05,6.971234339792076e-08,1.432765017739257e-09
38,0.05,5.501059819007503e-05,5.462942107570257e-07,2.2866656734787938e-08
38,0.1,0.00022204662567543165,4.189409758048601e-06,3.638771821079523e-07
