sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
484,30,8,7,1.4210854715202004e-14
485,23,4,3,1.1368683772161603e-13
486,12,4,2,2.842170943040401e-14
487,31,8,2,4.547473508864641e-13
488,17,8,4,1.4210854715202004e-14
489,20,8,5,1.4210854715202004e-14
490,26,4,2,2.2737367544323206e-13
491,29,6,3,1.7053025658242404e-13
492,18,7,4,2.842170943040401e-14
493,22,8,7,7.105427357601002e-15
494,27,8,7,7.105427357601002e-15
495,31,8,6,5.684341886080802e-14
496,19,8,2,5.684341886080802e-14
497,31,7,2,3.410605131648481e-13
498,20,7,4,5.684341886080802e-14
499,31,8,5,5.684341886080802e-14
500,20,5,4,2.842170943040401e-14
501,12,7,6,3.552713678800501e-15
502,15,4,2,5.684341886080802e-14
503,28,5,3,1.1368683772161603e-13
504,13,9,3,1.4210854715202004e-14
505,20,6,3,2.842170943040401e-14
506,27,9,2,2.2737367544323206e-13
507,21,4,2,1.4210854715202004e-13
508,12,6,2,2.842170943040401e-14
509,20,9,3,2.842170943040401e-14
510,19,4,2,8.526512829121202e-14
511,24,9,7,5.684341886080802e-14
512,17,7,3,5.684341886080802e-14
513,19,8,4,2.842170943040401e-14
514,14,9,8,3.552713678800501e-15
515,31,9,2,1.1368683772161603e-13
516,14,4,2,5.684341886080802e-14
517,22,7,3,1.1368683772161603e-13
518,19,4,3,2.842170943040401e-14
519,25,8,6,5.684341886080802e-14
520,28,7,2,5.684341886080801e-13
521,21,7,3,5.684341886080802e-14
522,20,8,5,2.1316282072803006e-14
523,26,5,2,1.7053025658242404e-13
524,25,7,5,5.684341886080802e-14
525,20,6,2,1.1368683772161603e-13
526,16,6,2,5.684341886080802e-14
527,28,7,3,5.684341886080802e-14
528,21,4,3,5.684341886080802e-14
529,22,8,4,8.526512829121202e-14
530,22,7,5,1.1368683772161603e-13
531,19,9,3,4.263256414560601e-14
532,31,4,2,5.684341886080801e-13
533,23,9,2,1.1368683772161603e-13
534,29,5,4,5.684341886080802e-14
535,32,4,3,5.684341886080802e-14
536,24,9,7,4.263256414560601e-14
537,30,6,5,8.526512829121202e-14
538,26,6,4,5.684341886080802e-14
539,27,9,8,1.4210854715202004e-14
540,29,4,3,8.526512829121202e-14
541,23,7,4,8.526512829121202e-14
542,17,6,3,1.4210854715202004e-14
543,17,7,4,2.842170943040401e-14
544,24,9,8,2.842170943040401e-14
545,21,6,4,2.842170943040401e-14
546,20,6,4,2.842170943040401e-14
547,19,6,5,2.842170943040401e-14
548,19,5,4,1.4210854715202004e-14
549,20,7,6,1.4210854715202004e-14
550,16,4,3,4.263256414560601e-14
551,25,4,3,3.979039320256561e-13
552,23,8,4,8.526512829121202e-14
553,24,6,2,2.8421709430404007e-13
554,15,6,4,1.4210854715202004e-14
555,26,5,4,2.842170943040401e-14
556,28,7,2,1.7053025658242404e-13
557,13,6,3,2.842170943040401e-14
558,12,8,3,1.4210854715202004e-14
559,31,5,3,5.684341886080802e-14
560,15,8,7,3.552713678800501e-15
561,28,5,2,1.7053025658242404e-13
562,22,8,3,1.1368683772161603e-13
563,28,4,3,1.7053025658242404e-13
564,26,4,3,1.1368683772161603e-13
565,20,6,4,5.684341886080802e-14
566,12,7,4,7.105427357601002e-15
567,30,9,3,1.1368683772161603e-13
568,32,9,2,3.410605131648481e-13
569,13,4,3,2.842170943040401e-14
570,32,9,4,5.684341886080802e-14
571,27,7,6,2.842170943040401e-14
572,32,9,4,1.1368683772161603e-13
573,22,9,3,2.842170943040401e-14
574,19,7,3,2.842170943040401e-14
575,24,9,2,2.2737367544323206e-13
576,16,7,5,2.842170943040401e-14
577,26,4,2,1.1368683772161603e-13
578,15,4,3,1.4210854715202004e-14
579,17,6,2,8.526512829121202e-14
580,23,6,5,5.684341886080802e-14
581,20,7,2,2.8421709430404007e-13
582,21,5,3,5.684341886080802e-14
583,15,5,3,2.842170943040401e-14
584,12,5,4,1.4210854715202004e-14
585,23,8,2,1.7053025658242404e-13
586,27,9,7,1.1368683772161603e-13
587,25,4,3,1.4210854715202004e-13
588,24,8,3,8.526512829121202e-14
589,32,5,2,2.2737367544323206e-13
590,23,4,2,8.526512829121202e-14
591,32,8,2,3.410605131648481e-13
592,27,4,2,2.2737367544323206e-13
593,24,6,3,8.526512829121202e-14
594,13,6,5,8.881784197001252e-16
595,19,7,2,1.1368683772161603e-13
596,19,9,4,7.105427357601002e-15
597,21,7,6,1.4210854715202004e-14
598,30,4,2,5.684341886080801e-13
599,16,7,5,1.4210854715202004e-14
600,19,5,2,1.7053025658242404e-13
601,20,4,3,8.526512829121202e-14
602,28,4,2,2.2737367544323206e-13
603,32,8,5,1.1368683772161603e-13
604,24,8,5,2.842170943040401e-14
