sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
436,2.220446049250313e-16,0.0
437,1.6653345369377348e-16,2.220446049250313e-16
438,1.1102230246251565e-16,2.220446049250313e-16
439,2.220446049250313e-16,2.220446049250313e-16
440,1.6653345369377348e-16,0.0
441,1.1102230246251565e-16,2.220446049250313e-16
442,1.6653345369377348e-16,2.220446049250313e-16
443,2.220446049250313e-16,3.3306690738754696e-16
444,1.6653345369377348e-16,2.220446049250313e-16
445,5.551115123125783e-17,2.220446049250313e-16
446,2.7755575615628914e-16,4.440892098500626e-16
447,1.6653345369377348e-16,2.220446049250313e-16
448,2.7755575615628914e-16,3.3306690738754696e-16
449,4.440892098500626e-16,4.440892098500626e-16
450,2.220446049250313e-16,1.1102230246251565e-16
451,1.1102230246251565e-16,0.0
452,1.1102230246251565e-16,1.1102230246251565e-16
453,1.1102230246251565e-16,3.3306690738754696e-16
454,1.1102230246251565e-16,2.220446049250313e-16
455,1.1102230246251565e-16,2.220446049250313e-16
456,1.1102230246251565e-16,2.220446049250313e-16
457,1.1102230246251565e-16,2.220446049250313e-16
458,2.220446049250313e-16,3.3306690738754696e-16
459,2.7755575615628914e-16,2.220446049250313e-16
460,8.881784197001252e-16,1.1102230246251565e-15
461,1.1102230246251565e-16,1.1102230246251565e-16
462,5.551115123125783e-17,4.440892098500626e-16
463,4.440892098500626e-16,2.220446049250313e-16
464,1.1102230246251565e-16,2.220446049250313e-16
465,5.551115123125783e-17,2.220446049250313e-16
466,1.1102230246251565e-16,2.220446049250313e-16
467,2.220446049250313e-16,2.220446049250313e-16
468,1.1102230246251565e-16,2.220446049250313e-16
469,2.220446049250313e-16,2.220446049250313e-16
470,2.220446049250313e-16,3.3306690738754696e-16
471,2.220446049250313e-16,4.440892098500626e-16
472,1.1102230246251565e-16,2.220446049250313e-16
473,1.1102230246251565e-16,0.0
474,1.1102230246251565e-16,2.220446049250313e-16
475,1.1102230246251565e-16,1.1102230246251565e-16
476,5.551115123125783e-17,0.0
477,1.1102230246251565e-16,2.220446049250313e-16
478,3.3306690738754696e-16,1.1102230246251565e-16
479,5.551115123125783e-17,1.1102230246251565e-16
480,1.1102230246251565e-16,2.220446049250313e-16
481,1.1102230246251565e-16,0.0
482,1.1102230246251565e-16,2.220446049250313e-16
483,2.220446049250313e-16,0.0
484,1.1102230246251565e-16,2.220446049250313e-16
485,1.1102230246251565e-16,2.220446049250313e-16
486,3.3306690738754696e-16,3.3306690738754696e-16
487,2.7755575615628914e-16,4.440892098500626e-16
488,5.551115123125783e-17,0.0
489,8.326672684688674e-17,1.1102230246251565e-16
490,2.7755575615628914e-16,4.440892098500626e-16
491,2.220446049250313e-16,4.440892098500626e-16
492,1.1102230246251565e-16,2.220446049250313e-16
493,8.326672684688674e-17,1.1102230246251565e-16
494,1.1102230246251565e-16,2.220446049250313e-16
495,1.1102230246251565e-16,2.220446049250313e-16
496,1.6653345369377348e-16,0.0
497,4.440892098500626e-16,1.1102230246251565e-16
498,8.326672684688674e-17,0.0
499,5.551115123125783e-17,2.220446049250313e-16
500,1.1102230246251565e-16,3.3306690738754696e-16
501,5.551115123125783e-17,2.220446049250313e-16
502,2.220446049250313e-16,2.220446049250313e-16
503,3.885780586188048e-16,4.440892098500626e-16
504,1.6653345369377348e-16,4.440892098500626e-16
505,1.6653345369377348e-16,2.220446049250313e-16
506,3.3306690738754696e-16,2.220446049250313e-16
507,2.220446049250313e-16,0.0
508,1.1102230246251565e-16,2.220446049250313e-16
509,2.220446049250313e-16,2.220446049250313e-16
510,2.220446049250313e-16,4.440892098500626e-16
