sample_index,transformed_model,initial_relation_identical,mark_vector_identical,trajectory_diverged,first_divergence_step,final_relation_identical,path_hash_identical,anchor_hash_identical,base_transitive_every_step,transformed_transitive_every_step
219,beta_skew,True,False,True,4,False,False,False,True,True
220,power_anisotropic,True,False,True,2,False,False,False,True,True
220,beta_skew,True,False,True,1,False,False,False,True,True
221,power_anisotropic,True,False,True,2,False,False,False,True,True
221,beta_skew,True,False,True,5,False,False,False,True,True
222,power_anisotropic,True,False,True,2,False,False,False,True,True
222,beta_skew,True,False,True,1,False,False,False,True,True
223,power_anisotropic,True,False,True,1,False,False,False,True,True
223,beta_skew,True,False,True,3,False,False,False,True,True
224,power_anisotropic,True,False,True,1,False,False,False,True,True
224,beta_skew,True,False,True,4,False,False,False,True,True
225,power_anisotropic,True,False,True,3,False,False,False,True,True
225,beta_skew,True,False,True,14,False,False,False,True,True
226,power_anisotropic,True,False,True,2,False,False,False,True,True
226,beta_skew,True,False,True,2,False,False,False,True,True
227,power_anisotropic,True,False,True,3,False,False,False,True,True
227,beta_skew,True,False,True,3,False,False,False,True,True
228,power_anisotropic,True,False,True,1,False,False,False,True,True
228,beta_skew,True,False,True,4,False,False,False,True,True
229,power_anisotropic,True,False,True,1,False,False,False,True,True
229,beta_skew,True,False,True,1,False,False,False,True,True
230,power_anisotropic,True,False,True,2,False,False,False,True,True
230,beta_skew,True,False,True,2,False,False,False,True,True
231,power_anisotropic,True,False,True,1,False,False,False,True,True
231,beta_skew,True,False,True,5,False,False,False,True,True
232,power_anisotropic,True,False,True,2,False,False,False,True,True
232,beta_skew,True,False,True,2,False,False,False,True,True
233,power_anisotropic,True,False,True,2,False,False,False,True,True
233,beta_skew,True,False,True,8,False,False,False,True,True
234,power_anisotropic,True,False,True,5,False,False,False,True,True
234,beta_skew,True,False,True,4,False,False,False,True,True
235,power_anisotropic,True,False,True,1,False,False,False,True,True
235,beta_skew,True,False,True,5,False,False,False,True,True
236,power_anisotropic,True,False,True,1,False,False,False,True,True
236,beta_skew,True,False,True,1,False,False,False,True,True
237,power_anisotropic,True,False,True,2,False,False,False,True,True
237,beta_skew,True,False,True,2,False,False,False,True,True
238,power_anisotropic,True,False,True,1,False,False,False,True,True
238,beta_skew,True,False,True,5,False,False,False,True,True
239,power_anisotropic,True,False,True,1,False,False,False,True,True
239,beta_skew,True,False,True,1,False,False,False,True,True
240,power_anisotropic,True,False,True,1,False,False,False,True,True
240,beta_skew,True,False,True,5,False,False,False,True,True
241,power_anisotropic,True,False,True,2,False,False,False,True,True
241,beta_skew,True,False,True,2,False,False,False,True,True
242,power_anisotropic,True,False,True,3,False,False,False,True,True
242,beta_skew,True,False,True,3,False,False,False,True,True
243,power_anisotropic,True,False,True,3,False,False,False,True,True
243,beta_skew,True,False,True,16,False,False,False,True,True
244,power_anisotropic,True,False,True,1,False,False,False,True,True
244,beta_skew,True,False,True,3,False,False,False,True,True
245,power_anisotropic,True,False,True,1,False,False,False,True,True
245,beta_skew,True,False,True,1,False,False,False,True,True
246,power_anisotropic,True,False,True,1,False,False,False,True,True
246,beta_skew,True,False,True,1,False,False,False,True,True
247,power_anisotropic,True,False,True,1,False,False,False,True,True
247,beta_skew,True,False,True,2,False,False,False,True,True
248,power_anisotropic,True,False,True,1,False,False,False,True,True
