n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
20,129,3,4.163336342344337e-17,1.7763568394002505e-15
20,130,2,4.163336342344337e-17,1.9984014443252818e-15
20,131,3,4.163336342344337e-17,1.887379141862766e-15
20,132,3,6.938893903907228e-17,2.6645352591003757e-15
20,133,5,5.551115123125783e-17,2.220446049250313e-15
20,134,6,5.551115123125783e-17,2.220446049250313e-15
20,135,2,4.163336342344337e-17,1.9984014443252818e-15
20,136,3,4.163336342344337e-17,2.1094237467877974e-15
20,137,5,6.938893903907228e-17,1.9984014443252818e-15
20,138,2,8.326672684688674e-17,1.887379141862766e-15
20,139,5,5.551115123125783e-17,2.4424906541753444e-15
20,140,4,2.7755575615628914e-17,2.220446049250313e-15
20,141,6,4.163336342344337e-17,1.887379141862766e-15
