n,sample_index,measure,same_relation_measure_tv
20,57,q_stationary,0.4203832161039422
20,57,q_node_softmax,0.20590235471722326
20,58,q_stationary,0.267577397564883
20,58,q_node_softmax,0.12807427350293
20,59,q_stationary,0.2369587157187762
20,59,q_node_softmax,0.20629580656763793
20,60,q_stationary,0.3082850709915769
20,60,q_node_softmax,0.15979086971918632
20,61,q_stationary,0.3436690906164186
20,61,q_node_softmax,0.11744071348694225
20,62,q_stationary,0.29069624218379486
20,62,q_node_softmax,0.21848505269519516
20,63,q_stationary,0.32119077226484655
20,63,q_node_softmax,0.160559721572439
20,64,q_stationary,0.32296509698622367
20,64,q_node_softmax,0.15105544757854275
20,65,q_stationary,0.3132307043999356
20,65,q_node_softmax,0.1588697846280568
20,66,q_stationary,0.44244646937926785
20,66,q_node_softmax,0.23032697773654429
20,67,q_stationary,0.3628536805959915
20,67,q_node_softmax,0.16665802897200363
20,68,q_stationary,0.5074592846305763
20,68,q_node_softmax,0.15606117661418614
20,69,q_stationary,0.331679454068455
20,69,q_node_softmax,0.14580844006672045
20,70,q_stationary,0.49768387565628736
20,70,q_node_softmax,0.19383582207732553
20,71,q_stationary,0.34830141385415736
20,71,q_node_softmax,0.19190678183509088
20,72,q_stationary,0.2945744782155884
20,72,q_node_softmax,0.21996633042039881
20,73,q_stationary,0.15246947668767635
20,73,q_node_softmax,0.14557220202629406
20,74,q_stationary,0.296083063648662
20,74,q_node_softmax,0.17996914985555776
20,75,q_stationary,0.3071782848253817
20,75,q_node_softmax,0.17325913351025235
20,76,q_stationary,0.5318675666310397
20,76,q_node_softmax,0.22748970457667606
20,77,q_stationary,0.3572896052951298
20,77,q_node_softmax,0.1266754233313917
20,78,q_stationary,0.4398824374327064
20,78,q_node_softmax,0.21675595451473828
20,79,q_stationary,0.4069950496342035
20,79,q_node_softmax,0.1712790659594799
20,80,q_stationary,0.34551934447828336
20,80,q_node_softmax,0.13947825242309636
20,81,q_stationary,0.2503704489145411
20,81,q_node_softmax,0.12828473902663198
20,82,q_stationary,0.2396529580411644
20,82,q_node_softmax,0.12247588565439595
20,83,q_stationary,0.31787164819932046
20,83,q_node_softmax,0.1302034122197933
20,84,q_stationary,0.21911888677332006
20,84,q_node_softmax,0.1700791258425678
20,85,q_stationary,0.41295284841158214
20,85,q_node_softmax,0.2370222007916809
20,86,q_stationary,0.3127203907246039
20,86,q_node_softmax,0.1636990599555973
20,87,q_stationary,0.29290405980043277
20,87,q_node_softmax,0.13761708834092182
20,88,q_stationary,0.4007813220883534
20,88,q_node_softmax,0.1866598777561369
20,89,q_stationary,0.3202103630111597
20,89,q_node_softmax,0.1260391260803988
20,90,q_stationary,0.3285758764122155
20,90,q_node_softmax,0.1898573683812195
20,91,q_stationary,0.4031864779173424
20,91,q_node_softmax,0.23265158636445243
20,92,q_stationary,0.6237577150124943
20,92,q_node_softmax,0.19579987112470051
20,93,q_stationary,0.49839690875574655
20,93,q_node_softmax,0.2801422953921406
20,94,q_stationary,0.3138612461310838
20,94,q_node_softmax,0.18121157512895417
20,95,q_stationary,0.33684953315588056
20,95,q_node_softmax,0.21269488552324747
20,96,q_stationary,0.3175837967660226
20,96,q_node_softmax,0.2098597724461035
20,97,q_stationary,0.32778833279520647
20,97,q_node_softmax,0.1561775739738908
20,98,q_stationary,0.20377285055680894
20,98,q_node_softmax,0.1774495910996173
20,99,q_stationary,0.38288292711604405
20,99,q_node_softmax,0.2063298432016982
20,100,q_stationary,0.36479827734237796
20,100,q_node_softmax,0.15487420310678335
20,101,q_stationary,0.3194557936687023
20,101,q_node_softmax,0.22986115162039303
20,102,q_stationary,0.41175354182308704
20,102,q_node_softmax,0.1668050684107668
20,103,q_stationary,0.4119243040725137
20,103,q_node_softmax,0.16972955384072927
20,104,q_stationary,0.4605009064688239
20,104,q_node_softmax,0.2440381646147482
20,105,q_stationary,0.5577793998169627
20,105,q_node_softmax,0.1985759653618205
20,106,q_stationary,0.2716721999283821
20,106,q_node_softmax,0.14893097058257168
20,107,q_stationary,0.3653785081775558
20,107,q_node_softmax,0.16989422270655613
20,108,q_stationary,0.3472987336162046
20,108,q_node_softmax,0.17466341116219142
20,109,q_stationary,0.3529396387617555
20,109,q_node_softmax,0.16881537548705744
20,110,q_stationary,0.405207022779014
20,110,q_node_softmax,0.17431437182453594
20,111,q_stationary,0.3398418793226875
20,111,q_node_softmax,0.1964927206848413
20,112,q_stationary,0.2613650444519554
20,112,q_node_softmax,0.17819172162833968
20,113,q_stationary,0.27688592416337254
20,113,q_node_softmax,0.2064855722985559
20,114,q_stationary,0.4295203368466666
20,114,q_node_softmax,0.18166837823889365
20,115,q_stationary,0.19011143497119132
20,115,q_node_softmax,0.14708742040786243
