n,phase,candidate_index,gadget_count,gadget_vertex_fraction,core_n,prefix_size,suffix_size,target_ordering_fraction,ordering_fraction,ordering_fraction_mismatch,induced_s3_certificate,transitive,q_score,p_value,accepted_by_a14
128,discovery,45,2,0.09375,116,12,40,0.484621062992126,0.484621062992126,0.0,True,True,123.68187308626474,0.004524886877828055,False
128,discovery,46,2,0.09375,116,27,49,0.5050442913385826,0.5051673228346457,0.00012303149606307517,True,True,259.94646041155085,0.004524886877828055,False
128,discovery,47,2,0.09375,116,41,18,0.5252214566929134,0.5252214566929134,0.0,True,True,149.28782301971145,0.004524886877828055,False
128,discovery,48,2,0.09375,116,20,21,0.48351377952755903,0.48351377952755903,0.0,True,True,121.51783812961479,0.004524886877828055,False
128,discovery,49,2,0.09375,116,26,44,0.5252214566929134,0.5252214566929134,0.0,True,True,143.7498310713097,0.004524886877828055,False
128,discovery,50,2,0.09375,116,54,20,0.5396161417322834,0.5396161417322834,0.0,True,True,199.88466960207268,0.004524886877828055,False
128,discovery,51,2,0.09375,116,30,51,0.5328494094488189,0.5328494094488189,0.0,True,True,389.6585937187569,0.004524886877828055,False
128,discovery,52,2,0.09375,116,6,7,0.4672736220472441,0.46764271653543305,0.00036909448818894797,True,True,71.66264423565015,0.27601809954751133,True
128,discovery,53,2,0.09375,116,18,19,0.4796998031496063,0.47982283464566927,0.00012303149606296415,True,True,113.02356656057749,0.004524886877828055,False
128,discovery,54,2,0.09375,116,24,30,0.47600885826771655,0.47600885826771655,0.0,True,True,258.68239581088676,0.004524886877828055,False
128,discovery,55,2,0.09375,116,45,25,0.5503198818897638,0.5503198818897638,0.0,True,True,196.32719073269652,0.004524886877828055,False
128,discovery,56,2,0.09375,116,34,17,0.48831200787401574,0.48831200787401574,0.0,True,True,169.47282892596857,0.004524886877828055,False
128,discovery,57,2,0.09375,116,52,20,0.5220226377952756,0.5220226377952756,0.0,True,True,275.3677674112765,0.004524886877828055,False
