sample_index,epsilon,total_variation,nonincreasing_from_previous
75,0.1,0.06060482611875124,True
75,0.01,0.006453886255213723,True
75,0.001,0.000649637084792402,True
75,0.0001,6.500653411046082e-05,True
75,1e-05,6.50108201134613e-06,True
75,1e-06,6.501124875619039e-07,True
76,0.1,0.044406003993595886,True
76,0.01,0.004645556602974343,True
76,0.001,0.0004667191686748721,True
76,0.0001,4.669367247098709e-05,True
76,1e-05,4.669584924392861e-06,True
76,1e-06,4.669606693777122e-07,True
77,0.1,0.010644255526049444,True
77,0.01,0.0011294136245013986,True
77,0.001,0.00011363889724421625,True
77,0.0001,1.1370916347531125e-05,True
77,1e-05,1.1371619525616383e-06,True
77,1e-06,1.1371689841592685e-07,True
78,0.1,0.005891860412468509,True
78,0.01,0.0005954177379819096,True
78,0.001,5.960476346235429e-05,True
78,0.0001,5.961106922987612e-06,True
78,1e-05,5.96116998836101e-07,True
78,1e-06,5.961176312641316e-08,True
79,0.1,0.029656493731566307,True
79,0.01,0.003045196329044384,True
79,0.001,0.00030533882938447185,True
79,0.0001,3.0542099358185965e-05,True
79,1e-05,3.054292124530366e-06,True
79,1e-06,3.0543003440743637e-07,True
80,0.1,0.0026482788823302267,True
80,0.01,0.0002704185175106936,True
80,0.001,2.7099055838962393e-05,True
80,0.0001,2.7104789540399743e-06,True
80,1e-05,2.7105363045088296e-07,True
80,1e-06,2.7105420476918005e-08,True
81,0.1,0.05187263244397758,True
81,0.01,0.005517487128786582,True
81,0.001,0.0005553184685654499,True
81,0.0001,5.556783476171939e-05,True
81,1e-05,5.557143647984088e-06,True
81,1e-06,5.557179667692903e-07,True
82,0.1,0.004664088325870221,True
82,0.01,0.00048006158162342336,True
82,0.001,4.814654185487052e-05,True
82,0.0001,4.816061987951974e-06,True
82,1e-05,4.816202807945471e-07,True
82,1e-06,4.816216886856233e-08,True
83,0.1,0.025934708527012948,True
83,0.01,0.0026595741317890272,True
83,0.001,0.00026663898222666115,True
83,0.0001,2.6670735134317102e-05,True
83,1e-05,2.6671419037598753e-06,True
83,1e-06,2.6671487430905965e-07,True
84,0.1,0.065779127991515,True
84,0.01,0.007071907960356937,True
84,0.001,0.0007126001325535622,True
84,0.0001,7.131462351949186e-05,True
84,1e-05,7.132008976734223e-06,True
84,1e-06,7.132063644655724e-07,True
85,0.1,0.007141387374313085,True
85,0.01,0.0007219641988829419,True
85,0.001,7.227553730884939e-05,True
85,0.0001,7.228345777472865e-06,True
85,1e-05,7.228424990867525e-07,True
85,1e-06,7.228432903939774e-08,True
86,0.1,0.030304509188784252,True
86,0.01,0.003134959944030304,True
86,0.001,0.000314584624533664,True
86,0.0001,3.146939414513162e-05,True
86,1e-05,3.1470487771493657e-06,True
86,1e-06,3.1470597141659223e-07,True
87,0.1,0.016544655226576024,True
87,0.01,0.0017062537654352994,True
87,0.001,0.00017115932404049687,True
87,0.0001,1.7121288445271243e-05,True
87,1e-05,1.712182421674329e-06,True
87,1e-06,1.712187780046332e-07,True
88,0.1,0.0020858393614660645,True
88,0.01,0.00020915384858363327,True
88,0.001,2.0921041258692164e-05,True
88,0.0001,2.092160645982078e-06,True
88,1e-05,2.092166296894498e-07,True
88,1e-06,2.0921668599368716e-08,True
89,0.1,0.006870266291273452,True
89,0.01,0.0006971046041508889,True
89,0.001,6.981261006095111e-05,True
89,0.0001,6.9822838889276316e-06,True
89,1e-05,6.982386191438602e-07,True
89,1e-06,6.982396417649375e-08,True
90,0.1,0.025091869922572316,True
90,0.01,0.002575580335910802,True
90,0.001,0.0002582411677219186,True
90,0.0001,2.583096787087866e-05,True
90,1e-05,2.583165317922413e-06,True
90,1e-06,2.583172171759377e-07,True
91,0.1,0.11062410651985025,True
91,0.01,0.01315166496341913,True
91,0.001,0.0013409478538389335,True
