sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1355,unweighted_z,4,5,0,0.11044353176247404,0.11044353176247411,False
1355,weighted_raw,4,5,0,0.0,0.0,True
1355,weighted_z,4,5,0,7.979727989493313e-17,1.1102230246251565e-16,True
1356,unweighted_raw,5,3,4,0.058515287439275115,0.05851528743927512,False
1356,unweighted_z,5,3,4,0.07004365084738287,0.06652247756052114,False
1356,weighted_raw,5,3,4,6.938893903907228e-18,1.3877787807814457e-17,True
1356,weighted_z,5,3,4,2.7755575615628914e-17,5.551115123125783e-17,True
1357,unweighted_raw,4,3,0,0.26308981026588807,0.2630898102658881,False
1357,unweighted_z,4,3,0,0.26339783151545226,0.2633978315154523,False
1357,weighted_raw,4,3,0,0.0,0.0,True
1357,weighted_z,4,3,0,8.673617379884035e-17,5.551115123125783e-17,True
1358,unweighted_raw,11,4,0,0.09846560247262957,0.0984656024726296,False
1358,unweighted_z,11,4,0,0.09463823671390693,0.09463823671390705,False
1358,weighted_raw,11,4,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1358,weighted_z,11,4,0,0.0,0.0,True
1359,unweighted_raw,8,2,0,0.10602427539499919,0.10602427539499917,False
1359,unweighted_z,8,2,0,0.09932250902600137,0.09932250902600148,False
1359,weighted_raw,8,2,0,6.938893903907228e-18,1.3877787807814457e-17,True
1359,weighted_z,8,2,0,0.0,0.0,True
1360,unweighted_raw,7,3,1,0.09755106795691251,0.09755106795691246,False
1360,unweighted_z,7,3,1,0.049994347091689234,0.04999434709168936,False
1360,weighted_raw,7,3,1,6.938893903907228e-18,1.3877787807814457e-17,True
1360,weighted_z,7,3,1,3.469446951953614e-18,6.938893903907228e-18,True
1361,unweighted_raw,10,2,1,0.008689730650875797,0.008689730650875766,False
1361,unweighted_z,10,2,1,0.02280537152011586,0.017260509566223645,False
1361,weighted_raw,10,2,1,4.336808689942018e-19,8.673617379884035e-19,True
1361,weighted_z,10,2,1,9.107298248878237e-17,5.551115123125783e-17,True
1362,unweighted_raw,9,6,1,0.41550044318979923,0.41550044318979934,False
1362,unweighted_z,9,6,1,0.4177446957228607,0.41774469572286066,False
1362,weighted_raw,9,6,1,1.3877787807814457e-17,2.7755575615628914e-17,True
1362,weighted_z,9,6,1,2.7755575615628914e-17,5.551115123125783e-17,True
1363,unweighted_raw,7,2,1,0.11504265191708854,0.11504265191708848,False
1363,unweighted_z,7,2,1,0.10748604325086915,0.1074860432508691,False
1363,weighted_raw,7,2,1,0.0,0.0,True
1363,weighted_z,7,2,1,0.0,0.0,True
1364,unweighted_raw,8,4,6,0.33184139839942667,0.33184139839942656,False
1364,unweighted_z,8,4,6,0.3229154425683208,0.3229154425683207,False
1364,weighted_raw,8,4,6,2.7755575615628914e-17,5.551115123125783e-17,True
1364,weighted_z,8,4,6,2.7755575615628914e-17,5.551115123125783e-17,True
1365,unweighted_raw,8,2,1,0.07515020466676166,0.07515020466676164,False
1365,unweighted_z,8,2,1,0.057802216527250115,0.057802216527250094,False
1365,weighted_raw,8,2,1,8.673617379884035e-17,5.551115123125783e-17,True
1365,weighted_z,8,2,1,9.80118763926896e-17,1.1102230246251565e-16,True
1366,unweighted_raw,9,2,4,0.02977439599749218,0.029774395997492195,False
1366,unweighted_z,9,2,4,0.029369702739204837,0.029369702739204813,False
1366,weighted_raw,9,2,4,1.1232334506949826e-16,1.1102230246251565e-16,True
1366,weighted_z,9,2,4,8.543513119185775e-17,5.551115123125783e-17,True
1367,unweighted_raw,5,5,4,0.29876363531666045,0.2987636353166603,False
1367,unweighted_z,5,5,4,0.1155568097137065,0.11555680971370641,False
1367,weighted_raw,5,5,4,2.0816681711721685e-16,1.6653345369377348e-16,True
1367,weighted_z,5,5,4,0.0,0.0,True
1368,unweighted_raw,11,4,0,0.09247077830714039,0.09247077830714043,False
1368,unweighted_z,11,4,0,0.057157198633565054,0.05715719863356507,False
1368,weighted_raw,11,4,0,1.3530843112619095e-16,5.551115123125783e-17,True
1368,weighted_z,11,4,0,9.280770596475918e-17,5.551115123125783e-17,True
1369,unweighted_raw,8,2,0,0.17124432994545524,0.1712443299454552,False
1369,unweighted_z,8,2,0,0.13361478397979817,0.1336147839797981,False
1369,weighted_raw,8,2,0,0.0,0.0,True
1369,weighted_z,8,2,0,1.249000902703301e-16,1.1102230246251565e-16,True
1370,unweighted_raw,11,5,4,0.2703722013295842,0.27037220132958417,False
1370,unweighted_z,11,5,4,0.2608463078666369,0.2608463078666368,False
1370,weighted_raw,11,5,4,1.3877787807814457e-17,2.7755575615628914e-17,True
1370,weighted_z,11,5,4,7.155734338404329e-17,5.551115123125783e-17,True
1371,unweighted_raw,7,3,3,0.04750007541254923,0.04750007541254922,False
1371,unweighted_z,7,3,3,0.05920577324098458,0.05705743204804803,False
1371,weighted_raw,7,3,3,2.42861286636753e-17,2.7755575615628914e-17,True
1371,weighted_z,7,3,3,1.5612511283791264e-17,1.3877787807814457e-17,True
1372,unweighted_raw,5,2,4,0.14192955163725102,0.141929551637251,False
1372,unweighted_z,5,2,4,0.1389206483362087,0.13892064833620874,False
1372,weighted_raw,5,2,4,7.979727989493313e-17,1.1102230246251565e-16,True
1372,weighted_z,5,2,4,8.673617379884035e-17,5.551115123125783e-17,True
1373,unweighted_raw,7,4,2,0.2431382448238254,0.2431382448238253,False
1373,unweighted_z,7,4,2,0.17130034311522815,0.17130034311522802,False
1373,weighted_raw,7,4,2,0.0,0.0,True
1373,weighted_z,7,4,2,6.938893903907228e-18,1.3877787807814457e-17,True
1374,unweighted_raw,4,2,3,0.13491778667230775,0.13491778667230778,False
1374,unweighted_z,4,2,3,0.10767256227012686,0.10767256227012686,False
1374,weighted_raw,4,2,3,0.0,0.0,True
1374,weighted_z,4,2,3,0.0,0.0,True
