sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
339,15,8,6,1.4210854715202004e-14
340,16,9,6,7.105427357601002e-15
341,29,4,3,1.1368683772161603e-13
342,30,8,5,5.684341886080802e-14
343,31,5,4,7.105427357601002e-14
344,14,6,5,1.4210854715202004e-14
345,26,5,2,3.410605131648481e-13
346,27,6,4,2.842170943040401e-14
347,17,5,4,5.684341886080802e-14
348,27,9,8,1.4210854715202004e-14
349,12,4,3,0.0
350,18,6,3,2.842170943040401e-14
351,32,5,2,6.821210263296962e-13
352,28,5,4,5.684341886080802e-14
353,15,6,2,5.684341886080802e-14
354,29,8,6,2.842170943040401e-14
355,20,8,7,7.105427357601002e-15
356,21,8,2,1.1368683772161603e-13
357,18,5,3,2.842170943040401e-14
358,32,8,5,8.526512829121202e-14
359,32,6,3,2.8421709430404007e-13
360,29,7,4,1.7053025658242404e-13
361,23,8,6,1.4210854715202004e-14
362,28,7,2,1.1368683772161603e-13
363,30,8,6,4.263256414560601e-14
364,16,5,2,2.842170943040401e-14
365,16,6,2,5.684341886080802e-14
366,16,8,6,1.4210854715202004e-14
367,29,8,3,1.7053025658242404e-13
368,26,9,8,5.684341886080802e-14
369,17,6,3,2.842170943040401e-14
370,26,9,3,1.4210854715202004e-13
371,25,7,6,2.842170943040401e-14
372,27,8,2,3.410605131648481e-13
373,13,5,3,1.4210854715202004e-14
374,12,6,2,2.842170943040401e-14
375,15,4,3,2.842170943040401e-14
376,26,8,4,5.684341886080802e-14
377,27,5,3,8.526512829121202e-14
378,28,6,5,8.526512829121202e-14
379,24,9,3,5.684341886080802e-14
380,18,6,4,5.684341886080802e-14
381,25,4,2,2.2737367544323206e-13
382,22,8,3,8.526512829121202e-14
383,18,9,3,2.842170943040401e-14
384,21,8,2,5.684341886080802e-14
385,21,9,6,1.4210854715202004e-14
386,27,8,2,4.547473508864641e-13
387,20,6,4,2.842170943040401e-14
388,15,5,3,7.105427357601002e-15
389,13,9,4,1.4210854715202004e-14
390,27,6,2,2.8421709430404007e-13
391,25,9,3,8.526512829121202e-14
392,17,6,3,2.842170943040401e-14
393,30,9,6,4.263256414560601e-14
394,18,8,7,2.842170943040401e-14
395,23,6,3,5.684341886080802e-14
396,14,6,3,2.842170943040401e-14
397,16,5,3,4.263256414560601e-14
398,27,4,2,4.547473508864641e-13
399,21,9,3,4.263256414560601e-14
400,30,7,4,1.7053025658242404e-13
401,20,5,4,2.842170943040401e-14
402,23,8,4,5.684341886080802e-14
403,32,4,2,3.410605131648481e-13
404,31,8,7,2.842170943040401e-14
405,23,5,4,2.842170943040401e-14
406,25,5,4,2.2737367544323206e-13
407,24,4,3,3.410605131648481e-13
