sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
119,1.6653345369377348e-16,1.1102230246251565e-16
120,5.551115123125783e-17,0.0
121,1.6653345369377348e-16,4.440892098500626e-16
122,8.326672684688674e-17,1.1102230246251565e-16
123,2.220446049250313e-16,4.440892098500626e-16
124,2.220446049250313e-16,2.220446049250313e-16
125,5.551115123125783e-17,2.220446049250313e-16
126,2.220446049250313e-16,4.440892098500626e-16
127,1.1102230246251565e-16,2.220446049250313e-16
128,1.1102230246251565e-16,2.220446049250313e-16
129,4.440892098500626e-16,4.440892098500626e-16
130,1.1102230246251565e-16,2.220446049250313e-16
131,1.6653345369377348e-16,4.440892098500626e-16
132,2.220446049250313e-16,2.220446049250313e-16
133,1.1102230246251565e-16,2.220446049250313e-16
134,1.1102230246251565e-16,2.220446049250313e-16
135,1.1102230246251565e-16,2.220446049250313e-16
136,5.551115123125783e-17,2.220446049250313e-16
137,5.551115123125783e-17,1.1102230246251565e-16
138,1.1102230246251565e-16,0.0
139,1.6653345369377348e-16,2.220446049250313e-16
140,1.1102230246251565e-16,2.220446049250313e-16
141,2.220446049250313e-16,2.220446049250313e-16
142,1.1102230246251565e-16,2.220446049250313e-16
143,1.1102230246251565e-16,2.220446049250313e-16
144,1.6653345369377348e-16,2.220446049250313e-16
145,2.220446049250313e-16,2.220446049250313e-16
146,1.6653345369377348e-16,4.440892098500626e-16
147,2.7755575615628914e-16,2.220446049250313e-16
148,1.1102230246251565e-16,0.0
149,2.220446049250313e-16,2.220446049250313e-16
150,5.551115123125783e-17,0.0
151,1.1102230246251565e-16,2.220446049250313e-16
152,1.1102230246251565e-16,1.1102230246251565e-16
153,2.220446049250313e-16,6.661338147750939e-16
154,1.1102230246251565e-16,2.220446049250313e-16
155,1.1102230246251565e-16,1.1102230246251565e-16
156,8.326672684688674e-17,2.220446049250313e-16
157,5.551115123125783e-17,2.220446049250313e-16
158,2.220446049250313e-16,2.220446049250313e-16
159,4.996003610813204e-16,6.661338147750939e-16
160,5.551115123125783e-17,2.220446049250313e-16
161,1.1102230246251565e-16,0.0
162,1.6653345369377348e-16,2.220446049250313e-16
163,1.1102230246251565e-16,4.440892098500626e-16
164,1.6653345369377348e-16,2.220446049250313e-16
165,1.1102230246251565e-16,2.220446049250313e-16
166,2.220446049250313e-16,2.220446049250313e-16
167,1.1102230246251565e-16,2.220446049250313e-16
168,1.1102230246251565e-16,2.220446049250313e-16
169,2.7755575615628914e-16,4.440892098500626e-16
170,1.1102230246251565e-16,2.220446049250313e-16
171,2.7755575615628914e-16,4.440892098500626e-16
172,1.1102230246251565e-16,1.1102230246251565e-16
173,1.1102230246251565e-16,2.220446049250313e-16
174,1.6653345369377348e-16,1.1102230246251565e-16
175,1.1102230246251565e-16,2.220446049250313e-16
176,1.6653345369377348e-16,3.3306690738754696e-16
177,2.220446049250313e-16,2.220446049250313e-16
178,2.7755575615628914e-16,2.220446049250313e-16
179,1.1102230246251565e-16,0.0
180,2.220446049250313e-16,4.440892098500626e-16
181,5.551115123125783e-17,2.220446049250313e-16
182,1.1102230246251565e-16,2.220446049250313e-16
183,1.1102230246251565e-16,2.220446049250313e-16
184,1.1102230246251565e-16,2.220446049250313e-16
185,8.326672684688674e-17,2.220446049250313e-16
186,1.1102230246251565e-16,2.220446049250313e-16
187,1.6653345369377348e-16,1.1102230246251565e-16
188,1.6653345369377348e-16,2.220446049250313e-16
189,2.220446049250313e-16,2.220446049250313e-16
190,3.3306690738754696e-16,2.220446049250313e-16
191,2.220446049250313e-16,2.220446049250313e-16
192,1.1102230246251565e-16,2.220446049250313e-16
193,2.7755575615628914e-16,2.220446049250313e-16
194,5.551115123125783e-17,2.220446049250313e-16
195,5.551115123125783e-17,0.0
196,1.1102230246251565e-16,0.0
197,1.1102230246251565e-16,2.220446049250313e-16
198,3.3306690738754696e-16,1.1102230246251565e-16
199,2.220446049250313e-16,0.0
200,1.1102230246251565e-16,1.1102230246251565e-16
201,1.1102230246251565e-16,3.3306690738754696e-16
202,5.551115123125783e-17,2.220446049250313e-16
203,5.551115123125783e-17,2.220446049250313e-16
204,1.1102230246251565e-16,2.220446049250313e-16
205,1.1102230246251565e-16,2.220446049250313e-16
206,1.1102230246251565e-16,2.220446049250313e-16
207,6.661338147750939e-16,8.881784197001252e-16
208,1.1102230246251565e-16,2.220446049250313e-16
209,2.220446049250313e-16,0.0
210,5.551115123125783e-17,2.220446049250313e-16
211,1.6653345369377348e-16,2.220446049250313e-16
212,2.220446049250313e-16,0.0
213,2.220446049250313e-16,0.0
214,1.1102230246251565e-16,2.220446049250313e-16
215,1.6653345369377348e-16,2.220446049250313e-16
216,1.1102230246251565e-16,1.1102230246251565e-16
217,1.6653345369377348e-16,4.440892098500626e-16
218,5.551115123125783e-17,2.220446049250313e-16
219,5.551115123125783e-17,2.220446049250313e-16
220,1.1102230246251565e-16,2.220446049250313e-16
221,1.1102230246251565e-16,2.220446049250313e-16
222,2.7755575615628914e-16,4.440892098500626e-16
223,1.1102230246251565e-16,1.1102230246251565e-16
224,1.1102230246251565e-16,2.220446049250313e-16
225,2.220446049250313e-16,2.220446049250313e-16
226,1.1102230246251565e-16,3.3306690738754696e-16
227,2.220446049250313e-16,2.220446049250313e-16
228,2.220446049250313e-16,2.220446049250313e-16
229,5.551115123125783e-17,1.1102230246251565e-16
230,5.551115123125783e-17,2.220446049250313e-16
