sample_index,maximum_count_measure_error
659,5.551115123125783e-17
660,5.551115123125783e-17
661,5.551115123125783e-17
662,5.551115123125783e-17
663,5.551115123125783e-17
664,5.551115123125783e-17
665,5.551115123125783e-17
666,2.7755575615628914e-17
667,2.7755575615628914e-17
668,2.7755575615628914e-17
669,6.938893903907228e-18
670,2.7755575615628914e-17
671,1.3877787807814457e-17
672,5.551115123125783e-17
673,2.7755575615628914e-17
674,5.551115123125783e-17
675,5.551115123125783e-17
676,2.7755575615628914e-17
677,2.7755575615628914e-17
678,2.7755575615628914e-17
679,2.7755575615628914e-17
680,2.7755575615628914e-17
681,5.551115123125783e-17
682,2.7755575615628914e-17
683,2.7755575615628914e-17
684,1.3877787807814457e-17
685,1.3877787807814457e-17
686,1.3877787807814457e-17
687,1.3877787807814457e-17
688,0.0
689,2.7755575615628914e-17
690,2.7755575615628914e-17
691,1.3877787807814457e-17
692,2.7755575615628914e-17
693,1.3877787807814457e-17
694,2.7755575615628914e-17
695,1.3877787807814457e-17
696,2.7755575615628914e-17
697,2.7755575615628914e-17
698,5.551115123125783e-17
699,0.0
700,1.3877787807814457e-17
701,1.3877787807814457e-17
702,1.3877787807814457e-17
703,1.3877787807814457e-17
704,5.551115123125783e-17
705,2.7755575615628914e-17
706,1.3877787807814457e-17
707,5.551115123125783e-17
708,1.3877787807814457e-17
709,2.7755575615628914e-17
710,5.551115123125783e-17
711,2.7755575615628914e-17
712,0.0
713,2.7755575615628914e-17
714,5.551115123125783e-17
715,2.7755575615628914e-17
716,2.7755575615628914e-17
717,2.7755575615628914e-17
718,1.3877787807814457e-17
719,2.7755575615628914e-17
720,2.7755575615628914e-17
721,2.7755575615628914e-17
722,2.7755575615628914e-17
723,0.0
724,2.7755575615628914e-17
725,0.0
726,0.0
727,2.7755575615628914e-17
728,2.7755575615628914e-17
729,0.0
730,2.7755575615628914e-17
731,1.3877787807814457e-17
732,2.7755575615628914e-17
733,1.3877787807814457e-17
734,6.938893903907228e-18
735,5.551115123125783e-17
736,1.3877787807814457e-17
737,3.469446951953614e-18
738,5.551115123125783e-17
739,1.3877787807814457e-17
740,2.7755575615628914e-17
741,5.551115123125783e-17
742,0.0
743,2.7755575615628914e-17
744,2.7755575615628914e-17
745,5.551115123125783e-17
746,1.3877787807814457e-17
747,2.7755575615628914e-17
748,2.7755575615628914e-17
749,1.3877787807814457e-17
750,2.7755575615628914e-17
751,2.7755575615628914e-17
752,5.551115123125783e-17
753,0.0
754,0.0
755,2.7755575615628914e-17
756,0.0
757,0.0
758,2.7755575615628914e-17
759,2.7755575615628914e-17
760,2.7755575615628914e-17
761,0.0
762,2.7755575615628914e-17
763,2.7755575615628914e-17
764,5.551115123125783e-17
765,1.3877787807814457e-17
766,0.0
767,2.7755575615628914e-17
768,2.7755575615628914e-17
769,2.7755575615628914e-17
770,0.0
771,0.0
772,2.7755575615628914e-17
773,2.7755575615628914e-17
774,2.7755575615628914e-17
775,2.7755575615628914e-17
776,2.7755575615628914e-17
777,2.7755575615628914e-17
778,2.7755575615628914e-17
779,1.3877787807814457e-17
780,0.0
781,5.551115123125783e-17
782,5.551115123125783e-17
783,5.551115123125783e-17
784,0.0
785,0.0
786,0.0
787,2.7755575615628914e-17
788,0.0
789,0.0
790,2.7755575615628914e-17
791,0.0
792,2.7755575615628914e-17
793,2.7755575615628914e-17
794,1.3877787807814457e-17
