sample_index,macro_count,first_total_leaves,second_total_leaves,counting_measure_tv
873,8,93,92,0.41654978962131833
874,12,239,133,0.19394721112404445
875,11,116,145,0.2827586206896552
876,11,100,134,0.361044776119403
877,11,167,166,0.20763292691724983
878,13,145,191,0.33363423000541614
879,11,156,114,0.33704453441295534
880,8,111,99,0.4589134589134589
881,14,174,139,0.2811543868353593
882,17,277,258,0.3199423502084907
883,8,96,100,0.2991666666666667
884,7,126,75,0.25396825396825395
885,17,169,207,0.39267644284366693
886,6,65,87,0.28240495137046867
887,6,69,94,0.36571076164045635
888,12,147,145,0.378606615059817
889,9,75,83,0.2685943775100402
890,14,141,152,0.36907428144830157
891,9,92,113,0.43930357829934585
892,5,65,84,0.19505494505494508
893,12,137,169,0.3340387854705653
894,8,119,80,0.35420168067226887
895,8,91,120,0.28360805860805866
896,9,129,94,0.3356424212436088
897,8,111,103,0.23467156476865214
898,7,70,107,0.1479305740987984
899,17,282,199,0.32114473074592825
900,3,30,42,0.3047619047619048
901,16,221,201,0.27934985704959364
902,9,84,117,0.40354090354090355
903,10,142,133,0.28793815524727306
904,13,128,165,0.3743844696969696
905,14,210,161,0.3467908902691511
906,6,64,91,0.2664835164835165
907,14,161,182,0.4407548972766364
908,3,26,59,0.4041720990873533
909,15,174,148,0.43398570984777884
910,3,50,39,0.28410256410256407
911,17,252,215,0.37129937246216316
912,12,172,150,0.29806201550387595
913,17,227,237,0.2711202810461161
914,14,175,178,0.3205457463884431
915,13,170,126,0.34173669467787116
916,13,174,241,0.2913149234511375
917,4,44,55,0.2681818181818182
918,4,58,58,0.13793103448275862
919,4,34,67,0.12862159789288846
920,11,143,143,0.38461538461538464
921,13,140,177,0.35088781275221953
922,15,176,158,0.3294735327963176
923,14,202,147,0.2904963965784333
924,16,200,214,0.32172897196261685
925,7,69,77,0.287596461509505
926,3,53,46,0.18744872846595567
927,17,191,208,0.26651228352799033
928,16,193,172,0.4329136040486806
929,17,230,127,0.4020883259157823
930,13,165,197,0.29792339640055376
931,15,157,151,0.4494874931454844
932,17,182,204,0.33521870286576166
933,11,140,76,0.40225563909774437
934,9,95,112,0.37105263157894736
935,11,164,165,0.26481892091648196
936,15,172,177,0.3236434108527132
937,13,189,154,0.1688311688311688
938,7,77,112,0.2832792207792208
939,4,70,43,0.1903654485049834
940,10,109,149,0.22467828335693615
941,7,75,109,0.228868501529052
942,4,44,51,0.4803921568627451
943,6,76,94,0.20968645016797313
944,4,56,34,0.49054621848739494
945,7,62,90,0.4229390681003584
946,7,96,72,0.4375
947,11,167,112,0.5528229255774165
948,11,143,110,0.33216783216783213
949,10,130,152,0.3135627530364372
950,11,142,145,0.3689655172413794
951,11,138,160,0.323731884057971
