sample_index,leaf_count,maximum_additive_state_error,maximum_derived_observable_error
669,78,5.684341886080802e-14,5.684341886080802e-14
670,74,2.842170943040401e-14,2.842170943040401e-14
671,31,4.263256414560601e-14,4.263256414560601e-14
672,17,3.552713678800501e-15,3.552713678800501e-15
673,54,5.684341886080802e-14,5.684341886080802e-14
674,52,1.4210854715202004e-14,1.4210854715202004e-14
675,27,7.105427357601002e-15,7.105427357601002e-15
676,68,5.684341886080802e-14,5.684341886080802e-14
677,76,4.263256414560601e-14,4.263256414560601e-14
678,38,5.684341886080802e-14,5.684341886080802e-14
679,45,2.842170943040401e-14,2.842170943040401e-14
680,71,5.684341886080802e-14,5.684341886080802e-14
681,45,5.684341886080802e-14,5.684341886080802e-14
682,41,2.842170943040401e-14,2.842170943040401e-14
683,37,3.552713678800501e-15,1.1102230246251565e-16
684,40,1.4210854715202004e-14,1.4210854715202004e-14
685,32,1.4210854715202004e-14,1.4210854715202004e-14
686,17,1.4210854715202004e-14,1.4210854715202004e-14
687,24,7.105427357601002e-15,7.105427357601002e-15
688,68,5.684341886080802e-14,5.684341886080802e-14
689,29,2.842170943040401e-14,2.842170943040401e-14
690,16,7.105427357601002e-15,7.105427357601002e-15
691,28,1.4210854715202004e-14,1.4210854715202004e-14
692,74,5.684341886080802e-14,5.684341886080802e-14
693,31,1.4210854715202004e-14,1.4210854715202004e-14
694,65,5.684341886080802e-14,5.684341886080802e-14
695,34,1.4210854715202004e-14,1.4210854715202004e-14
696,30,2.1316282072803006e-14,2.1316282072803006e-14
697,37,1.4210854715202004e-14,1.4210854715202004e-14
698,14,8.881784197001252e-16,5.551115123125783e-17
699,55,2.842170943040401e-14,2.842170943040401e-14
700,61,5.684341886080802e-14,5.684341886080802e-14
701,34,1.4210854715202004e-14,1.4210854715202004e-14
702,10,1.7763568394002505e-15,1.7763568394002505e-15
703,54,3.552713678800501e-14,3.552713678800501e-14
704,14,7.105427357601002e-15,7.105427357601002e-15
705,22,7.105427357601002e-15,7.105427357601002e-15
706,79,5.684341886080802e-14,5.684341886080802e-14
707,76,2.842170943040401e-14,2.842170943040401e-14
708,47,2.842170943040401e-14,2.842170943040401e-14
709,15,3.552713678800501e-15,3.552713678800501e-15
710,80,5.684341886080802e-14,5.684341886080802e-14
711,55,2.842170943040401e-14,1.4210854715202004e-14
712,53,3.552713678800501e-14,3.552713678800501e-14
713,71,1.1368683772161603e-13,1.1368683772161603e-13
714,25,7.105427357601002e-15,7.105427357601002e-15
715,78,5.684341886080802e-14,5.684341886080802e-14
716,60,5.684341886080802e-14,5.684341886080802e-14
717,75,2.842170943040401e-14,2.842170943040401e-14
718,66,8.526512829121202e-14,8.526512829121202e-14
719,76,2.842170943040401e-14,2.842170943040401e-14
720,22,7.105427357601002e-15,7.105427357601002e-15
721,20,7.105427357601002e-15,7.105427357601002e-15
722,64,5.684341886080802e-14,5.684341886080802e-14
723,40,2.842170943040401e-14,2.842170943040401e-14
724,79,4.263256414560601e-14,4.263256414560601e-14
725,40,2.1316282072803006e-14,2.1316282072803006e-14
726,36,2.842170943040401e-14,2.842170943040401e-14
727,13,7.105427357601002e-15,1.7763568394002505e-15
728,54,5.684341886080802e-14,5.684341886080802e-14
729,70,8.526512829121202e-14,8.526512829121202e-14
730,53,2.842170943040401e-14,2.842170943040401e-14
731,59,5.684341886080802e-14,5.684341886080802e-14
732,14,7.105427357601002e-15,1.7763568394002505e-15
733,47,2.842170943040401e-14,2.842170943040401e-14
734,75,8.526512829121202e-14,8.526512829121202e-14
735,14,7.105427357601002e-15,7.105427357601002e-15
736,62,5.684341886080802e-14,5.684341886080802e-14
737,58,2.1316282072803006e-14,1.4210854715202004e-14
738,24,7.105427357601002e-15,7.105427357601002e-15
739,62,1.4210854715202004e-13,1.4210854715202004e-13
740,65,2.842170943040401e-14,2.842170943040401e-14
741,79,1.1368683772161603e-13,1.1368683772161603e-13
742,61,5.684341886080802e-14,5.684341886080802e-14
743,41,2.842170943040401e-14,2.842170943040401e-14
744,69,2.842170943040401e-14,2.842170943040401e-14
745,46,5.684341886080802e-14,5.684341886080802e-14
746,45,1.4210854715202004e-14,1.4210854715202004e-14
747,77,5.684341886080802e-14,5.684341886080802e-14
748,70,2.842170943040401e-14,2.842170943040401e-14
749,42,2.842170943040401e-14,2.842170943040401e-14
750,19,7.105427357601002e-15,7.105427357601002e-15
751,66,2.842170943040401e-14,2.842170943040401e-14
752,18,1.4210854715202004e-14,1.4210854715202004e-14
753,32,2.1316282072803006e-14,7.105427357601002e-15
754,8,3.552713678800501e-15,3.552713678800501e-15
755,37,1.4210854715202004e-14,1.4210854715202004e-14
756,56,4.263256414560601e-14,2.842170943040401e-14
757,39,2.842170943040401e-14,2.842170943040401e-14
758,8,1.7763568394002505e-15,1.7763568394002505e-15
759,31,1.4210854715202004e-14,1.4210854715202004e-14
760,11,3.552713678800501e-15,3.552713678800501e-15
761,80,7.105427357601002e-14,7.105427357601002e-14
762,57,4.263256414560601e-14,4.263256414560601e-14
763,47,2.842170943040401e-14,2.842170943040401e-14
