n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,beta_q_scale_degeneracy_error
32,21,True,True,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2626997365434003,1.1102230246251565e-16
32,22,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.1825385113222327,1.1102230246251565e-16
32,23,True,True,1.6653345369377348e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.3296010607284544,1.1102230246251565e-16
32,24,True,True,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.3876754161994963,2.220446049250313e-16
32,25,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.23116362901782916,1.1102230246251565e-16
32,26,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2947715154255111,1.1102230246251565e-16
32,27,True,True,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.17445697484806846,1.1102230246251565e-16
32,28,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3439025652505369,1.1102230246251565e-16
32,29,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.36617412800519367,1.1102230246251565e-16
32,30,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3101881489583576,1.1102230246251565e-16
