sample_index,score,maximum_probability_error
110,row_rank,0.0
110,global_zscore,0.0
111,raw,0.0
111,min_shift,0.0
111,row_zscore,2.7755575615628914e-17
111,row_mad,0.0
111,row_rank,2.7755575615628914e-17
111,global_zscore,2.7755575615628914e-17
112,raw,0.0
112,min_shift,0.0
112,row_zscore,5.551115123125783e-17
112,row_mad,0.0
112,row_rank,0.0
112,global_zscore,0.0
113,raw,2.7755575615628914e-17
113,min_shift,2.7755575615628914e-17
113,row_zscore,0.0
113,row_mad,0.0
113,row_rank,5.551115123125783e-17
113,global_zscore,0.0
114,raw,0.0
114,min_shift,0.0
114,row_zscore,0.0
114,row_mad,0.0
114,row_rank,0.0
114,global_zscore,5.551115123125783e-17
115,raw,0.0
115,min_shift,0.0
115,row_zscore,1.1102230246251565e-16
115,row_mad,0.0
115,row_rank,0.0
115,global_zscore,5.551115123125783e-17
116,raw,2.7755575615628914e-17
116,min_shift,2.7755575615628914e-17
116,row_zscore,1.3877787807814457e-17
116,row_mad,5.551115123125783e-17
116,row_rank,2.7755575615628914e-17
116,global_zscore,2.7755575615628914e-17
117,raw,0.0
117,min_shift,0.0
117,row_zscore,5.551115123125783e-17
117,row_mad,0.0
117,row_rank,0.0
117,global_zscore,0.0
118,raw,0.0
118,min_shift,0.0
118,row_zscore,0.0
118,row_mad,5.551115123125783e-17
118,row_rank,2.7755575615628914e-17
118,global_zscore,0.0
119,raw,5.551115123125783e-17
119,min_shift,5.551115123125783e-17
119,row_zscore,5.551115123125783e-17
119,row_mad,5.551115123125783e-17
119,row_rank,2.7755575615628914e-17
119,global_zscore,5.551115123125783e-17
120,raw,1.1102230246251565e-16
120,min_shift,1.1102230246251565e-16
120,row_zscore,5.551115123125783e-17
120,row_mad,0.0
120,row_rank,2.7755575615628914e-17
120,global_zscore,0.0
121,raw,5.551115123125783e-17
121,min_shift,5.551115123125783e-17
121,row_zscore,2.7755575615628914e-17
121,row_mad,0.0
121,row_rank,0.0
121,global_zscore,5.551115123125783e-17
122,raw,2.7755575615628914e-17
122,min_shift,2.7755575615628914e-17
122,row_zscore,5.551115123125783e-17
122,row_mad,0.0
122,row_rank,0.0
122,global_zscore,0.0
123,raw,0.0
123,min_shift,0.0
123,row_zscore,0.0
123,row_mad,0.0
123,row_rank,0.0
123,global_zscore,5.551115123125783e-17
124,raw,0.0
124,min_shift,0.0
124,row_zscore,0.0
124,row_mad,0.0
124,row_rank,5.551115123125783e-17
124,global_zscore,5.551115123125783e-17
125,raw,5.551115123125783e-17
125,min_shift,5.551115123125783e-17
125,row_zscore,2.7755575615628914e-17
125,row_mad,2.220446049250313e-16
125,row_rank,5.551115123125783e-17
125,global_zscore,1.1102230246251565e-16
126,raw,0.0
126,min_shift,0.0
126,row_zscore,8.326672684688674e-17
126,row_mad,0.0
126,row_rank,0.0
126,global_zscore,0.0
127,raw,0.0
127,min_shift,0.0
127,row_zscore,5.551115123125783e-17
127,row_mad,1.1102230246251565e-16
127,row_rank,0.0
127,global_zscore,0.0
128,raw,1.1102230246251565e-16
128,min_shift,1.1102230246251565e-16
128,row_zscore,5.551115123125783e-17
128,row_mad,1.1102230246251565e-16
128,row_rank,5.551115123125783e-17
128,global_zscore,0.0
129,raw,5.551115123125783e-17
129,min_shift,5.551115123125783e-17
129,row_zscore,2.0816681711721685e-17
129,row_mad,0.0
129,row_rank,0.0
129,global_zscore,0.0
130,raw,0.0
130,min_shift,0.0
