n,sample_index,model,relation_identical,order_degree_parity_identical,independent_bit_identical_under_coupling,rank_half_bit_identical,moving_threshold_bit_identical,fixed_threshold_bit_identical,fixed_threshold_hamming_fraction
32,228,power_anisotropic,True,True,True,True,True,False,0.21875
32,228,beta_skew,True,True,True,True,True,False,0.25
32,229,power_anisotropic,True,True,True,True,True,False,0.3125
32,229,beta_skew,True,True,True,True,True,False,0.34375
32,230,power_anisotropic,True,True,True,True,True,False,0.1875
32,230,beta_skew,True,True,True,True,True,False,0.21875
32,231,power_anisotropic,True,True,True,True,True,False,0.28125
32,231,beta_skew,True,True,True,True,True,False,0.40625
32,232,power_anisotropic,True,True,True,True,True,False,0.34375
32,232,beta_skew,True,True,True,True,True,False,0.4375
32,233,power_anisotropic,True,True,True,True,True,False,0.21875
32,233,beta_skew,True,True,True,True,True,False,0.3125
32,234,power_anisotropic,True,True,True,True,True,False,0.34375
32,234,beta_skew,True,True,True,True,True,False,0.4375
32,235,power_anisotropic,True,True,True,True,True,False,0.34375
32,235,beta_skew,True,True,True,True,True,False,0.40625
32,236,power_anisotropic,True,True,True,True,True,False,0.3125
32,236,beta_skew,True,True,True,True,True,False,0.3125
32,237,power_anisotropic,True,True,True,True,True,False,0.34375
32,237,beta_skew,True,True,True,True,True,False,0.34375
32,238,power_anisotropic,True,True,True,True,True,False,0.5
32,238,beta_skew,True,True,True,True,True,False,0.5
32,239,power_anisotropic,True,True,True,True,True,False,0.34375
32,239,beta_skew,True,True,True,True,True,False,0.375
32,240,power_anisotropic,True,True,True,True,True,False,0.5
32,240,beta_skew,True,True,True,True,True,False,0.5625
32,241,power_anisotropic,True,True,True,True,True,False,0.3125
